{
	{
		["ID"] = 1,
		["class"] = 1,
		["cooldown"] = 3000,
		["desc"] = "1组瓦罐罐小队，普通近战单位，攻击中等，血量中等，移动速度中等",
		["exercised"] = {
			3,
		},
		["exercising"] = {
		},
		["lv"] = 1,
		["name"] = "瓦罐罐小队",
		["skillid"] = 1041140,
		["type"] = 1,
	},
	{
		["ID"] = 2,
		["class"] = 2,
		["cooldown"] = 5000,
		["desc"] = "1组舞龙大队，高攻击，高血量，只能攻击核心，移动速度慢",
		["exercised"] = {
			4,
			5,
		},
		["exercising"] = {
		},
		["lv"] = 1,
		["name"] = "舞龙大队",
		["skillid"] = 1041145,
		["type"] = 1,
	},
	{
		["ID"] = 3,
		["class"] = 3,
		["cooldown"] = 4000,
		["desc"] = "1个龙首罐罐，近战单位，攻击极高，移动速度快",
		["exercised"] = {
			8,
			9,
		},
		["exercising"] = {
		},
		["lv"] = 1,
		["name"] = "龙首罐罐",
		["skillid"] = 1041150,
		["type"] = 1,
	},
	{
		["ID"] = 4,
		["class"] = 1,
		["cooldown"] = 2000,
		["desc"] = "6个机械造物，血量极低，攻击极低，移动速度快",
		["exercised"] = {
			6,
		},
		["exercising"] = {
		},
		["lv"] = 1,
		["name"] = "机械造物",
		["skillid"] = 1041090,
		["type"] = 1,
	},
	{
		["ID"] = 5,
		["class"] = 1,
		["cooldown"] = 2000,
		["desc"] = "3个机械造物·改，为低级地面远程单位，攻击低，血量低，移动速度极快",
		["exercised"] = {
			6,
		},
		["exercising"] = {
		},
		["lv"] = 1,
		["name"] = "机械造物·改",
		["skillid"] = 1041146,
		["type"] = 1,
	},
	{
		["ID"] = 6,
		["class"] = 1,
		["cooldown"] = 3000,
		["desc"] = "2个机械娃娃，地面远程单位，可以对空，移动速度中等",
		["exercised"] = {
			1,
			3,
		},
		["exercising"] = {
		},
		["lv"] = 1,
		["name"] = "机械娃娃",
		["skillid"] = 1041148,
		["type"] = 1,
	},
	{
		["ID"] = 7,
		["class"] = 2,
		["cooldown"] = 4000,
		["desc"] = "1架机械炮台，地面远程单位，可以对空，攻击高，血量中等，移动速度中等",
		["exercised"] = {
			1,
			3,
		},
		["exercising"] = {
		},
		["lv"] = 1,
		["name"] = "机械炮台",
		["skillid"] = 1041149,
		["type"] = 1,
	},
	{
		["ID"] = 8,
		["class"] = 2,
		["cooldown"] = 4000,
		["desc"] = "1架安保无人机，高级空中单位，攻击高，血量高，移动速度快",
		["exercised"] = {
			6,
			7,
			23,
		},
		["exercising"] = {
		},
		["lv"] = 1,
		["name"] = "安保无人机",
		["skillid"] = 1041147,
		["type"] = 1,
	},
	{
		["ID"] = 9,
		["class"] = 2,
		["cooldown"] = 2000,
		["desc"] = "3架无人机，空中单位，血量一般，攻击中等，移动速度中等",
		["exercised"] = {
			6,
			7,
			23,
		},
		["exercising"] = {
		},
		["lv"] = 1,
		["name"] = "无人机",
		["skillid"] = 1041093,
		["type"] = 1,
	},
	{
		["ID"] = 10,
		["class"] = 3,
		["cooldown"] = 5000,
		["desc"] = "同调者老板，远程单位，每10秒造成多次攻击伤害，移动速度中等",
		["exercised"] = {
		},
		["exercising"] = {
		},
		["lv"] = 1,
		["name"] = "老板",
		["skillid"] = 1041096,
		["type"] = 3,
	},
	{
		["ID"] = 11,
		["class"] = 3,
		["cooldown"] = 5000,
		["desc"] = "同调者豹富，远程单位，每10秒造成高额范围伤害，移动速度快",
		["exercised"] = {
		},
		["exercising"] = {
		},
		["lv"] = 1,
		["name"] = "豹富",
		["skillid"] = 1041097,
		["type"] = 3,
	},
	{
		["ID"] = 12,
		["class"] = 3,
		["cooldown"] = 5000,
		["desc"] = "同调者Sweeper-EX，近战单位，会进入爆发状态和虚弱状态，移动速度中等",
		["exercised"] = {
		},
		["exercising"] = {
		},
		["lv"] = 1,
		["name"] = "Sweeper-EX",
		["skillid"] = 1041142,
		["type"] = 3,
	},
	{
		["ID"] = 13,
		["class"] = 3,
		["cooldown"] = 5000,
