{
	{
		{
			["ID"] = 1,
			["atk_show"] = 7,
			["chapter_level"] = {
				67,
				6,
			},
			["hp_show"] = 8,
			["item"] = 25,
			["lv"] = 1,
			["name"] = "哮焰鸡",
			["npc_tid"] = 10,
			["quest_id"] = 1320,
			["skill_desc"] = "两只哮焰鸡会协助我方战斗，哮焰鸡拥有以下特性：\n受到来自首领敌人的伤害大幅减少\n普通攻击为炎元素远程范围攻击并生成炎元素区域\n对处于炎元素区域上的敌人造成额外10%伤害\n重伤时生成炎元素区域",
			["upgrade_desc"] = "",
		},
		{
			["ID"] = 1,
			["atk_show"] = 14,
			["chapter_level"] = {
				67,
				7,
			},
			["hp_show"] = 16,
			["item"] = 26,
			["lv"] = 2,
			["name"] = "哮焰鸡",
			["npc_tid"] = 10,
			["quest_id"] = 1321,
			["skill_desc"] = "两只哮焰鸡会协助我方战斗，哮焰鸡拥有以下特性：\n受到来自首领敌人的伤害大幅减少\n最大生命值提高、攻击提高\n普通攻击为炎元素远程范围攻击并生成炎元素区域\n对处于炎元素区域上的敌人造成额外10%伤害\n重伤时生成炎元素区域",
			["upgrade_desc"] = "",
		},
		{
			["ID"] = 1,
			["atk_show"] = 14,
			["chapter_level"] = {
				67,
				8,
			},
			["hp_show"] = 16,
			["item"] = 27,
			["lv"] = 3,
			["name"] = "哮焰鸡",
			["npc_tid"] = 10,
			["quest_id"] = 1322,
			["skill_desc"] = "两只哮焰鸡会协助我方战斗，哮焰鸡拥有以下特性：\n受到来自首领敌人的伤害大幅减少\n最大生命值提高、攻击提高\n普通攻击为炎元素远程范围攻击并生成炎元素区域\n对处于炎元素区域上的敌人造成额外50%伤害\n重伤时生成炎元素区域\n每5次攻击后发射4个火球，优先攻击被嘲讽单位，同时生成炎元素区域",
			["upgrade_desc"] = "对处于炎元素区域上的敌人造成额外50%伤害\n重伤时生成炎元素区域\n每5次攻击后发射4个火球，优先攻击被嘲讽单位，同时生成炎元素区域",
		},
		{
			["ID"] = 1,
			["atk_show"] = 21,
			["chapter_level"] = {
				67,
				9,
			},
			["hp_show"] = 24,
			["item"] = 28,
			["lv"] = 4,
			["name"] = "哮焰鸡",
			["npc_tid"] = 10,
			["quest_id"] = 1323,
			["skill_desc"] = "两只哮焰鸡会协助我方战斗，哮焰鸡拥有以下特性：\n受到来自首领敌人的伤害大幅减少\n最大生命值大幅提高、攻击大幅提高\n普通攻击为炎元素远程范围攻击并生成炎元素区域\n对处于炎元素区域上的敌人造成额外50%伤害\n重伤时生成炎元素区域\n每5次攻击后发射4个火球，优先攻击被嘲讽单位，同时生成炎元素区域",
			["upgrade_desc"] = "",
		},
		{
			["ID"] = 1,
			["atk_show"] = 21,
			["chapter_level"] = {
				67,
				10,
			},
			["hp_show"] = 24,
			["item"] = 29,
			["lv"] = 5,
			["name"] = "哮焰鸡",
			["npc_tid"] = 10,
			["quest_id"] = 1324,
			["skill_desc"] = "两只哮焰鸡会协助我方战斗，哮焰鸡拥有以下特性：\n受到来自首领敌人的伤害大幅减少\n最大生命值大幅提高、攻击大幅提高\n普通攻击为炎元素远程范围攻击并生成炎元素区域\n对处于炎元素区域上的敌人造成额外100%伤害\n重伤时生成炎元素区域\n每5次攻击后发射8个火球，优先攻击被嘲讽单位，同时生成炎元素区域",
			["upgrade_desc"] = "对处于炎元素区域上的敌人造成额外100%伤害\n每5次攻击后发射8个火球，优先攻击被嘲讽单位，同时生成炎元素区域",
		},
	},
	{
		{
			["ID"] = 2,
			["atk_show"] = 2,
			["chapter_level"] = {
				67,
				1,
			},
			["hp_show"] = 16,
			["item"] = 20,
			["lv"] = 1,
			["name"] = "鱼刺刺",
			["npc_tid"] = 12,
			["quest_id"] = 1315,
			["skill_desc"] = "四只鱼刺刺会协助我方战斗，鱼刺刺拥有以下特性：\n受到来自首领敌人的伤害大幅减少\n普通攻击造成水元素伤害\n对处于水元素区域上的敌人造成额外10%伤害\n重伤时生成水元素区域",
			["upgrade_desc"] = "",
		},
