{
	{
		["center_source_bias_x"] = 0,
		["center_source_bias_y"] = 0,
		["center_source_height"] = 580,
		["center_source_name"] = "MI_UI_TVFace",
		["center_source_name_locked"] = "",
		["center_source_width"] = 720,
		["chapter_idx"] = 52,
		["diff_max"] = {
			0,
			0,
			0,
		},
		["event"] = "battlefield_main_1",
		["is_center_bink"] = false,
		["level_idx"] = 25,
		["period_MI_name"] = "MI_BigBattlefield",
		["period_bgm"] = "event:/bgm/s090_ui_simbattlefield",
		["period_diff_temp"] = "bf001",
		["period_id"] = 1,
		["period_name_chn"] = "联合训练·过载呈像",
		["period_name_code"] = "#001",
		["period_name_eng"] = "CODE:[c ff3c3c]TV WAR[/c]",
		["period_reward_path"] = "reward_period1",
		["reward_evaluation_prior"] = {
		},
		["reward_id_max"] = {
			3,
			6,
			9,
			12,
		},
		["version_id"] = 1,
	},
	{
		["center_source_bias_x"] = 0,
		["center_source_bias_y"] = 0,
		["center_source_height"] = 580,
		["center_source_name"] = "center_loop",
		["center_source_name_locked"] = "center_loop1",
		["center_source_width"] = 720,
		["chapter_idx"] = 70,
		["diff_max"] = {
			0,
			0,
			0,
		},
		["event"] = "battlefield_main_2",
		["is_center_bink"] = true,
		["level_idx"] = 1,
		["period_MI_name"] = "MI_BigBattlefield_2nd",
		["period_bgm"] = "event:/bgm/s090_ui_simbattlefield",
		["period_diff_temp"] = "bf002",
		["period_id"] = 2,
		["period_name_chn"] = "联合训练·恶声派对",
		["period_name_code"] = "#002",
		["period_name_eng"] = "CODE:[c ff3c3c]TV WAR[/c]",
		["period_reward_path"] = "reward_period1",
		["reward_evaluation_prior"] = {
		},
		["reward_id_max"] = {
			3,
			6,
			9,
			12,
		},
		["version_id"] = 1,
	},
	{
		["center_source_bias_x"] = 0,
		["center_source_bias_y"] = 0,
		["center_source_height"] = 580,
		["center_source_name"] = "center2_loop",
		["center_source_name_locked"] = "center2_loop",
		["center_source_width"] = 720,
		["chapter_idx"] = 70,
		["diff_max"] = {
			0,
			0,
			0,
		},
		["event"] = "battlefield_main_3",
		["is_center_bink"] = true,
		["level_idx"] = 2,
		["period_MI_name"] = "MI_BigBattlefield_3rd",
		["period_bgm"] = "event:/bgm/s090_ui_simbattlefield",
		["period_diff_temp"] = "bf003",
		["period_id"] = 3,
		["period_name_chn"] = "联合训练·无上祭台",
		["period_name_code"] = "#003",
		["period_name_eng"] = "CODE:[c ff3c3c]TV WAR[/c]",
		["period_reward_path"] = "reward_period1",
		["reward_evaluation_prior"] = {
		},
		["reward_id_max"] = {
			3,
			6,
			9,
			12,
		},
		["version_id"] = 1,
	},
	{
		["center_source_bias_x"] = 20,
		["center_source_bias_y"] = 50,
		["center_source_height"] = 552,
		["center_source_name"] = "center3_loop",
		["center_source_name_locked"] = "center3_loop_ruo",
		["center_source_width"] = 1096,
		["chapter_idx"] = 70,
		["diff_max"] = {
			0,
			0,
			0,
		},
		["event"] = "battlefield_main_4",
		["is_center_bink"] = true,
		["level_idx"] = 4,
		["period_MI_name"] = "MI_BigBattlefield_4th",
		["period_bgm"] = "event:/bgm/s161_ui_simbattlefield2_sea",
		["period_diff_temp"] = "bf004",
		["period_id"] = 4,
		["period_name_chn"] = "联合训练·危海孑遗",
		["period_name_code"] = "#004",
		["period_name_eng"] = "CODE:[c ff3c3c]SEA[/c]",
		["period_reward_path"] = "reward_period1",
		["reward_evaluation_prior"] = {
		},
		["reward_id_max"] = {
			6,
			12,
			12,
			12,
		},
		["version_id"] = 2,
	},
	{
		["center_source_bias_x"] = 10,
		["center_source_bias_y"] = 50,
		["center_source_height"] = 580,
		["center_source_name"] = "center4_loop",
		["center_source_name_locked"] = "center4_loop_ruo",
		["center_source_width"] = 1530,
		["chapter_idx"] = 70,
		["diff_max"] = {
			0,
			0,
			0,
		},
		["event"] = "battlefield_main_5",
		["is_center_bink"] = true,
		["level_idx"] = 5,
		["period_MI_name"] = "MI_BigBattlefield_5th",
		["period_bgm"] = "event:/bgm/s161_ui_simbattlefield2_sea",
		["period_diff_temp"] = "bf005",
		["period_id"] = 5,
		["period_name_chn"] = "联合训练·过载呈像Ⅱ",
		["period_name_code"] = "#005",
		["period_name_eng"] = "CODE:[c ff3c3c]TV WAR[/c]",
		["period_reward_path"] = "reward_period1",
		["reward_evaluation_prior"] = {
		},
		["reward_id_max"] = {
			6,
			12,
			12,
			12,
		},
		["version_id"] = 2,
	},
	{
		["center_source_bias_x"] = 10,
		["center_source_bias_y"] = 50,
		["center_source_height"] = 580,
		["center_source_name"] = "center6_loop",
		["center_source_name_locked"] = "center6_loop_ruo",
		["center_source_width"] = 1530,
		["chapter_idx"] = 70,
		["diff_max"] = {
			0,
			0,
			0,
		},
		["event"] = "battlefield_main_6",
		["is_center_bink"] = true,
		["level_idx"] = 6,
		["period_MI_name"] = "MI_BigBattlefield_6th",
		["period_bgm"] = "event:/bgm/s161_ui_simbattlefield2_sea",
		["period_diff_temp"] = "bf006",
		["period_id"] = 6,
		["period_name_chn"] = "联合训练·捷速难逃",
		["period_name_code"] = "#006",
		["period_name_eng"] = "CODE:[c ff3c3c]SP[/c]",
		["period_reward_path"] = "reward_period1",
		["reward_evaluation_prior"] = {
		},
		["reward_id_max"] = {
			6,
			12,
			12,
			12,
		},
		["version_id"] = 2,
	},
	{
		["center_source_bias_x"] = 10,
		["center_source_bias_y"] = 50,
		["center_source_height"] = 580,
		["center_source_name"] = "center7_loop",
		["center_source_name_locked"] = "center7_loop_ruo",
		["center_source_width"] = 1530,
		["chapter_idx"] = 70,
		["diff_max"] = {
			0,
			0,
			0,
		},
		["event"] = "battlefield_main_7",
		["is_center_bink"] = true,
		["level_idx"] = 7,
		["period_MI_name"] = "MI_BigBattlefield_7th",
		["period_bgm"] = "event:/bgm/s161_ui_simbattlefield2_sea",
		["period_diff_temp"] = "bf007",
		["period_id"] = 7,
		["period_name_chn"] = "联合训练·艺术创想",
		["period_name_code"] = "#007",
		["period_name_eng"] = "CODE:[c ff3c3c]SP[/c]",
		["period_reward_path"] = "reward_period1",
		["reward_evaluation_prior"] = {
		},
		["reward_id_max"] = {
			6,
			12,
			12,
			12,
		},
		["version_id"] = 3,
	},
}
