{
	[101] = {
		{
			["card_stage_restriction"] = 0,
			["content"] = "",
			["favor_lv_restriction"] = 0,
			["file_image"] = 1,
			["manual_unlock"] = false,
			["title"] = "基础报告",
		},
		{
			["card_stage_restriction"] = 0,
			["content"] = "\n[leading 18][font ZhongHeiT][indent][size 16]天隙事件平息之后，原本的白荆研究所得到了来自有熊集团的巨额投资，并且搬入了南柯大道旁的摩天大楼内。不过，对于每天都会巡视领地的老板来说，并不是一件多么值得高兴的事。\n\n[leading 18][indent]一百三十层的白荆科技总部大楼，累计超过三公顷的建筑室内面积，老板的巡视工作需要从早持续到晚。\n\n[leading 18][indent]在老板运动过量导致体重锐减一公斤后，曲先生终于为老板改装了一辆代步工具，在G12型扫地机器人的基础上，内置大容量锂电池及微型超导磁悬浮动力系统，最高时速可达50km/h,曲先生将其命名为“香鱼号”。[/size]\n\n[font ZhunYuan][c 989fa2][indent][size 14]“说起来，sweeper为什么老是追着老板喊'还我哥哥'啊？”\n[indent]“可能因为香鱼号的原型机是白荆科技上一代的扫地机器人吧……我也不是很懂机器人的伦理观啦。”[/size][/c][/font]\n",
			["favor_lv_restriction"] = 0,
			["file_image"] = 6,
			["manual_unlock"] = true,
			["title"] = "关于“香鱼号”",
		},
		{
			["card_stage_restriction"] = 0,
			["content"] = "\n[leading 18][font ZhongHeiT][indent][size 16]“最开始是有一个保安想偷懒，于是用小鱼干贿赂老板，想让老板帮他巡夜，一次1根小鱼干就可以……哦，这个保安已经被辞退了，你不要试图模仿。而且现在白荆科技给老板开了正式的‘工资’，一个月30个罐头，根本不稀罕小鱼干。”\n\n[leading 18][indent]“30个？猫吃太多罐头不太好吧？”\n[leading 18][indent]“怎么可能全吃？食堂的阿姨每天都会给老板准备丰盛的猫饭，这些罐头老板最多也就吃掉五六个，剩下的都被她分发给手底下的野猫了。”\n\n[leading 18][indent]“现在她是这个区的猫老大，一声令下，上百只野猫听她指挥，别说是贼了，连只老鼠都进不来。”\n\n[leading 18][indent]“……白荆科技的保安部真的还有必要存在吗？”\n[leading 18][indent]“总有猫咪无法解决的状况，好好工作吧新人，不要让一只小猫咪击溃了你的自信心。”[/size][/font]\n",
			["favor_lv_restriction"] = 0,
			["file_image"] = 2,
			["manual_unlock"] = true,
			["pre_id"] = 2,
			["title"] = "关于老板的“薪资”",
		},
		{
			["card_stage_restriction"] = 0,
