{
	[102] = {
		{
			["ID"] = 12,
			["bp_id"] = 102,
			["count_value_index"] = 2,
			["datasource"] = 2,
			["desc"] = "使用{1}作为队长在回廊漫巡中达深度等级{2}及以上",
			["extra_desc"] = "",
			["is_base_type"] = true,
			["is_collapse"] = false,
			["is_jump_type"] = true,
			["key"] = "rc_terminal_diff_bp_1",
			["key_name"] = "回廊漫巡",
			["show_type"] = 2,
			["sort_weight"] = 99,
			["tag"] = "回廊漫巡",
		},
		{
			["ID"] = 13,
			["bp_id"] = 102,
			["count_value_index"] = 1,
			["datasource"] = 2,
			["desc"] = "使用{1}作为队长在回廊漫巡中获得{2}及以上刻印",
			["extra_desc"] = "",
			["is_base_type"] = true,
			["is_collapse"] = false,
			["is_jump_type"] = true,
			["key"] = "rc_terminal_level_bp_1",
			["key_name"] = "回廊漫巡",
			["show_type"] = 2,
			["sort_weight"] = 99,
			["tag"] = "回廊漫巡",
		},
	},
}
