{
	[1] = {
		{
			["ID"] = 1,
			["event"] = "",
			["formation_limit_idx"] = 91,
			["max_lv"] = 10,
			["name"] = "轻卫塔",
			["open_days"] = {
				1,
				4,
				0,
			},
			["open_days_mask"] = 19,
			["special_open_event"] = "leader_challenge_all",
			["vocation_limit"] = 2,
			["vocation_limit_list"] = {
				1,
			},
		},
	},
	[2] = {
		{
			["ID"] = 2,
			["event"] = "",
			["formation_limit_idx"] = 92,
			["max_lv"] = 10,
			["name"] = "铁御塔",
			["open_days"] = {
				1,
				4,
				0,
			},
			["open_days_mask"] = 19,
			["special_open_event"] = "leader_challenge_all",
			["vocation_limit"] = 4,
			["vocation_limit_list"] = {
				2,
			},
		},
	},
	[3] = {
		{
			["ID"] = 3,
			["event"] = "",
			["formation_limit_idx"] = 93,
			["max_lv"] = 10,
			["name"] = "战术家塔",
			["open_days"] = {
				3,
				6,
				0,
			},
			["open_days_mask"] = 73,
			["special_open_event"] = "leader_challenge_all",
			["vocation_limit"] = 8,
			["vocation_limit_list"] = {
				3,
			},
		},
	},
	[4] = {
		{
			["ID"] = 4,
			["event"] = "",
			["formation_limit_idx"] = 94,
			["max_lv"] = 10,
			["name"] = "游徒塔",
			["open_days"] = {
				2,
				5,
				0,
			},
			["open_days_mask"] = 37,
			["special_open_event"] = "leader_challenge_all",
			["vocation_limit"] = 16,
			["vocation_limit_list"] = {
				4,
			},
		},
	},
	[5] = {
		{
			["ID"] = 5,
			["event"] = "",
			["formation_limit_idx"] = 95,
			["max_lv"] = 10,
			["name"] = "尖锋塔",
			["open_days"] = {
				1,
				4,
				0,
			},
			["open_days_mask"] = 19,
			["special_open_event"] = "leader_challenge_all",
			["vocation_limit"] = 32,
			["vocation_limit_list"] = {
				5,
			},
		},
	},
	[6] = {
		{
			["ID"] = 6,
			["event"] = "",
			["formation_limit_idx"] = 96,
			["max_lv"] = 10,
			["name"] = "筑术士塔",
			["open_days"] = {
				2,
				5,
				0,
			},
			["open_days_mask"] = 37,
			["special_open_event"] = "leader_challenge_all",
			["vocation_limit"] = 64,
			["vocation_limit_list"] = {
				6,
			},
		},
	},
	[8] = {
		{
			["ID"] = 8,
			["event"] = "",
			["formation_limit_idx"] = 97,
			["max_lv"] = 10,
			["name"] = "护佑者塔",
			["open_days"] = {
				3,
				6,
				0,
			},
			["open_days_mask"] = 73,
			["special_open_event"] = "leader_challenge_all",
			["vocation_limit"] = 256,
			["vocation_limit_list"] = {
				8,
			},
		},
	},
}
