{
	[101] = {
		{
			["card_tid"] = 101,
			["leader_lv"] = 1,
			["prop_key"] = "team_leader_fake",
			["prop_value"] = {
				0.2,
			},
		},
		{
			["card_tid"] = 101,
			["leader_lv"] = 2,
			["prop_key"] = "teammate_add",
			["prop_value"] = {
				0.2,
			},
		},
		{
			["card_tid"] = 101,
			["leader_lv"] = 3,
			["prop_key"] = "team_leader_sta",
			["prop_value"] = {
				0.2,
			},
		},
		{
			["card_tid"] = 101,
			["leader_lv"] = 4,
			["prop_key"] = "mastery_add",
			["prop_value"] = {
				1.1,
			},
		},
		{
			["card_tid"] = 101,
			["leader_lv"] = 5,
			["prop_key"] = "distract",
			["prop_value"] = {
				0.6,
			},
		},
		{
			["card_tid"] = 101,
			["leader_lv"] = 6,
			["prop_key"] = "card_leader_aspd",
			["prop_value"] = {
				0.05,
			},
		},
		{
			["card_tid"] = 101,
			["leader_lv"] = 7,
			["prop_key"] = "card_leader_cri",
			["prop_value"] = {
				0.05,
			},
		},
		{
			["card_tid"] = 101,
			["leader_lv"] = 8,
			["prop_key"] = "none_card",
			["prop_value"] = {
				1,
			},
		},
		{
			["card_tid"] = 101,
			["leader_lv"] = 9,
			["prop_key"] = "card_leader_change",
			["prop_value"] = {
				15000,
			},
		},
		{
			["card_tid"] = 101,
			["leader_lv"] = 10,
			["prop_key"] = "card_leader_add",
			["prop_value"] = {
				0.5,
			},
		},
	},
	[102] = {
		{
			["card_tid"] = 102,
			["leader_lv"] = 1,
			["prop_key"] = "team_leader_fake",
			["prop_value"] = {
				0.2,
			},
		},
		{
			["card_tid"] = 102,
			["leader_lv"] = 2,
			["prop_key"] = "teammate_add",
			["prop_value"] = {
				0.2,
			},
		},
		{
			["card_tid"] = 102,
			["leader_lv"] = 3,
			["prop_key"] = "team_leader_sta",
			["prop_value"] = {
				0.2,
			},
		},
		{
			["card_tid"] = 102,
			["leader_lv"] = 4,
			["prop_key"] = "mastery_add",
			["prop_value"] = {
				1.1,
			},
		},
		{
			["card_tid"] = 102,
			["leader_lv"] = 5,
			["prop_key"] = "rogue",
			["prop_value"] = {
				0.6,
			},
		},
		{
			["card_tid"] = 102,
			["leader_lv"] = 6,
			["prop_key"] = "card_leader_aspd",
			["prop_value"] = {
				0.05,
			},
		},
		{
			["card_tid"] = 102,
			["leader_lv"] = 7,
			["prop_key"] = "card_leader_cri",
			["prop_value"] = {
				0.05,
			},
		},
		{
			["card_tid"] = 102,
			["leader_lv"] = 8,
			["prop_key"] = "none_card",
			["prop_value"] = {
				1,
			},
		},
		{
			["card_tid"] = 102,
			["leader_lv"] = 9,
			["prop_key"] = "card_leader_change",
			["prop_value"] = {
				15000,
			},
		},
		{
			["card_tid"] = 102,
			["leader_lv"] = 10,
			["prop_key"] = "card_leader_add",
			["prop_value"] = {
