{
	["money_ratio"] = {
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
		1,
	},
	["total"] = {
		60,
		160,
		300,
		480,
		700,
		960,
		1260,
		1600,
		1980,
		2400,
		2860,
		3360,
		3900,
		4480,
		5100,
		5760,
		6460,
		7200,
		7980,
		8800,
		9660,
		10560,
		11500,
		12480,
		13500,
		14560,
		15660,
		16800,
		17980,
		19200,
		20460,
		21760,
		23100,
		24480,
		25900,
		27360,
		28860,
		30400,
		31980,
		33600,
		35260,
		36960,
		38700,
		40480,
		42300,
		44160,
		46060,
		48000,
		49980,
		52000,
		54260,
		56760,
		59500,
		62480,
		65700,
		69160,
		72860,
		76800,
		80980,
		85400,
		90060,
		94960,
		100100,
		105480,
		111100,
		116960,
		123060,
		129400,
		135980,
		142800,
		150660,
		159560,
		169500,
		180480,
		192500,
		205560,
		219660,
		234800,
		250980,
		268200,
		286460,
		305760,
		326100,
		347480,
		369900,
		393360,
		417860,
		443400,
		469980,
		497600,
		529460,
		565560,
		605900,
		650480,
		699300,
		752360,
		809660,
		871200,
		936980,
		1007000,
	},
	["ups"] = {
		60,
		100,
		140,
		180,
		220,
		260,
		300,
		340,
		380,
		420,
		460,
		500,
		540,
		580,
		620,
		660,
		700,
		740,
		780,
		820,
		860,
		900,
		940,
		980,
		1020,
		1060,
		1100,
		1140,
		1180,
		1220,
		1260,
		1300,
		1340,
		1380,
		1420,
		1460,
		1500,
		1540,
		1580,
		1620,
		1660,
		1700,
		1740,
		1780,
		1820,
		1860,
		1900,
		1940,
		1980,
		2020,
		2260,
		2500,
		2740,
		2980,
		3220,
		3460,
		3700,
		3940,
		4180,
		4420,
		4660,
		4900,
		5140,
		5380,
		5620,
		5860,
		6100,
		6340,
		6580,
		6820,
		7860,
		8900,
		9940,
		10980,
		12020,
		13060,
		14100,
		15140,
		16180,
		17220,
		18260,
		19300,
		20340,
		21380,
		22420,
		23460,
		24500,
		25540,
		26580,
		27620,
		31860,
		36100,
		40340,
		44580,
		48820,
		53060,
		57300,
		61540,
		65780,
		70020,
	},
}
