{
	[1001] = {
		["bundle"] = 1,
		["card_preview"] = false,
		["currency1_count"] = 300,
		["currency1_tid"] = 33554435,
		["event"] = "",
		["filter"] = "",
		["filter_type"] = 0,
		["goods_id"] = 1001,
		["is_copy"] = false,
		["is_mall"] = false,
		["is_new"] = false,
		["onsale_preview"] = false,
		["phantom_preview"] = false,
		["player_lv_preview"] = false,
		["pre_goods_preview"] = false,
		["quest_preview"] = false,
		["red_dot_index"] = 0,
		["shop_id"] = 1,
		["sort"] = 10,
		["source_grade"] = 1,
		["tid"] = 16777287,
	},
	[1002] = {
		["bundle"] = 1,
		["card_preview"] = false,
		["currency1_count"] = 3000,
		["currency1_tid"] = 33554435,
		["event"] = "",
		["filter"] = "",
		["filter_type"] = 0,
		["goods_id"] = 1002,
		["is_copy"] = false,
		["is_mall"] = false,
		["is_new"] = false,
		["onsale_preview"] = false,
		["phantom_preview"] = false,
		["player_lv_preview"] = false,
		["pre_goods_preview"] = false,
		["quest_preview"] = false,
		["red_dot_index"] = 0,
		["shop_id"] = 1,
		["sort"] = 9,
		["source_grade"] = 1,
		["tid"] = 16777288,
	},
	[1003] = {
		["bundle"] = 1,
		["card_preview"] = false,
		["currency1_count"] = 300,
		["currency1_tid"] = 33554435,
		["event"] = "",
		["filter"] = "",
		["filter_type"] = 0,
		["goods_id"] = 1003,
		["is_copy"] = false,
		["is_mall"] = false,
		["is_new"] = false,
		["onsale_preview"] = false,
		["phantom_preview"] = false,
		["player_lv_preview"] = false,
		["pre_goods_preview"] = false,
		["quest_preview"] = false,
		["red_dot_index"] = 0,
		["shop_id"] = 1,
		["sort"] = 8,
		["source_grade"] = 1,
		["tid"] = 16777289,
	},
	[1004] = {
		["bundle"] = 1,
		["card_preview"] = false,
		["currency1_count"] = 3000,
		["currency1_tid"] = 33554435,
		["event"] = "",
		["filter"] = "",
		["filter_type"] = 0,
		["goods_id"] = 1004,
		["is_copy"] = false,
		["is_mall"] = false,
		["is_new"] = false,
		["onsale_preview"] = false,
		["phantom_preview"] = false,
		["player_lv_preview"] = false,
		["pre_goods_preview"] = false,
