{
	{
		["ID"] = 1,
		["bgm"] = "event:/bgm/s243_bat_haicuo_oneshot",
		["event_days_offset"] = 0,
		["idrcs"] = {
			[10] = "1_10",
			[11] = "1_11",
			[12] = "1_12",
			[13] = "1_13",
			[14] = "1_14",
			[15] = "1_15",
			[16] = "1_16",
			[17] = "1_17",
			[18] = "1_18",
			[19] = "1_19",
			[1] = "1_1",
			[20] = "1_20",
			[21] = "1_21",
			[22] = "1_22",
			[23] = "1_23",
			[24] = "1_24",
			[25] = "1_25",
			[26] = "1_26",
			[2] = "1_2",
			[3] = "1_3",
			[4] = "1_4",
			[5] = "1_5",
			[6] = "1_6",
			[7] = "1_7",
			[8] = "1_8",
			[99] = "1_27",
			[9] = "1_9",
		},
		["main_quest_nodes"] = {
		},
		["max_col"] = 27,
		["max_row"] = 1,
		["nodes"] = {
			[10] = {
				["ID"] = 10,
				["chapter_id"] = 198,
				["choice_factor"] = {
				},
				["choice_modify_quest"] = {
				},
				["choice_rpgitem"] = {
				},
				["cid"] = 10,
				["desc"] = "",
				["desc_unlock"] = "",
				["ending"] = {
				},
				["event_days_offset"] = 0,
				["exit_id"] = 0,
				["icon"] = "haicuo_story_level_3",
				["ignore_around_complete"] = true,
				["image"] = "2",
				["in_factor"] = {
				},
				["involve_ids"] = {
				},
				["is_enable"] = true,
				["is_ending"] = false,
				["is_exit"] = false,
				["is_hide"] = false,
				["is_start"] = false,
				["is_two"] = false,
				["left_bottom_id"] = 0,
				["left_id"] = 9,
				["left_top_id"] = 0,
				["level_id"] = 5,
				["location"] = {
					190,
					570,
				},
				["map_id"] = 1,
				["modify_quest"] = {
				},
				["mutex_ids"] = {
				},
				["mutex_pack_ids"] = {
				},
				["pre_ending"] = {
				},
				["rckey"] = "1_10",
				["reward_item_pack"] = {
				},
				["rid"] = 1,
				["right_bottom_id"] = 0,
				["right_id"] = 11,
				["right_top_id"] = 0,
				["show_quest"] = 8699,
				["show_type"] = 3,
				["success_factor"] = {
				},
				["success_rpgitem"] = {
				},
				["unlock_factors"] = {
				},
				["unlock_hide"] = false,
				["unlock_nodes"] = {
				},
				["unlock_quests"] = {
					8699,
				},
				["unlock_rpgitem"] = {
				},
				["unlock_tips"] = "",
			},
			[11] = {
				["ID"] = 11,
				["chapter_id"] = 199,
				["choice_factor"] = {
				},
				["choice_modify_quest"] = {
				},
				["choice_rpgitem"] = {
				},
				["cid"] = 11,
				["desc"] = "",
				["desc_unlock"] = "",
				["ending"] = {
				},
				["event_days_offset"] = 0,
				["exit_id"] = 0,
				["icon"] = "haicuo_story_level_2",
				["ignore_around_complete"] = true,
				["image"] = "2",
				["in_factor"] = {
				},
				["involve_ids"] = {
				},
				["is_enable"] = true,
				["is_ending"] = false,
				["is_exit"] = false,
				["is_hide"] = false,
				["is_start"] = false,
				["is_two"] = false,
				["left_bottom_id"] = 0,
				["left_id"] = 10,
				["left_top_id"] = 0,
				["level_id"] = 4,
				["location"] = {
					0,
					600,
				},
				["map_id"] = 1,
				["modify_quest"] = {
				},
				["mutex_ids"] = {
				},
				["mutex_pack_ids"] = {
				},
				["pre_ending"] = {
				},
				["rckey"] = "1_11",
				["reward_item_pack"] = {
				},
				["rid"] = 1,
				["right_bottom_id"] = 0,
				["right_id"] = 12,
				["right_top_id"] = 0,
				["show_quest"] = 8700,
				["show_type"] = 5,
				["success_factor"] = {
				},
				["success_rpgitem"] = {
				},
				["unlock_factors"] = {
				},
				["unlock_hide"] = false,
				["unlock_nodes"] = {
				},
				["unlock_quests"] = {
					8700,
				},
				["unlock_rpgitem"] = {
				},
				["unlock_tips"] = "",
			},
			[12] = {
				["ID"] = 12,
				["chapter_id"] = 198,
				["choice_factor"] = {
				},
				["choice_modify_quest"] = {
				},
				["choice_rpgitem"] = {
				},
				["cid"] = 12,
				["desc"] = "",
				["desc_unlock"] = "",
				["ending"] = {
				},
				["event_days_offset"] = 0,
				["exit_id"] = 0,
				["icon"] = "haicuo_story_level_3",
				["ignore_around_complete"] = true,
				["image"] = "1",
				["in_factor"] = {
				},
				["involve_ids"] = {
				},
				["is_enable"] = true,
				["is_ending"] = false,
				["is_exit"] = false,
				["is_hide"] = false,
				["is_start"] = false,
				["is_two"] = false,
				["left_bottom_id"] = 0,
				["left_id"] = 11,
				["left_top_id"] = 0,
				["level_id"] = 6,
				["location"] = {
					-78,
					391,
				},
				["map_id"] = 1,
				["modify_quest"] = {
				},
				["mutex_ids"] = {
				},
				["mutex_pack_ids"] = {
				},
				["pre_ending"] = {
				},
				["rckey"] = "1_12",
				["reward_item_pack"] = {
				},
				["rid"] = 1,
				["right_bottom_id"] = 0,
				["right_id"] = 13,
				["right_top_id"] = 0,
				["show_quest"] = 8662,
				["show_type"] = 3,
				["success_factor"] = {
				},
				["success_rpgitem"] = {
				},
				["unlock_factors"] = {
				},
				["unlock_hide"] = false,
				["unlock_nodes"] = {
				},
				["unlock_quests"] = {
					8662,
				},
				["unlock_rpgitem"] = {
				},
				["unlock_tips"] = "",
			},
			[13] = {
				["ID"] = 13,
				["chapter_id"] = 198,
				["choice_factor"] = {
				},
				["choice_modify_quest"] = {
				},
				["choice_rpgitem"] = {
				},
				["cid"] = 13,
				["desc"] = "",
				["desc_unlock"] = "",
				["ending"] = {
				},
				["event_days_offset"] = 0,
				["exit_id"] = 0,
				["icon"] = "haicuo_story_level_3",
				["ignore_around_complete"] = true,
				["image"] = "1",
				["in_factor"] = {
				},
				["involve_ids"] = {
				},
				["is_enable"] = true,
				["is_ending"] = false,
				["is_exit"] = false,
				["is_hide"] = false,
				["is_start"] = false,
				["is_two"] = false,
				["left_bottom_id"] = 0,
				["left_id"] = 12,
				["left_top_id"] = 0,
				["level_id"] = 7,
				["location"] = {
					-229,
					339,
				},
				["map_id"] = 1,
				["modify_quest"] = {
				},
				["mutex_ids"] = {
				},
				["mutex_pack_ids"] = {
				},
				["pre_ending"] = {
				},
				["rckey"] = "1_13",
				["reward_item_pack"] = {
				},
				["rid"] = 1,
				["right_bottom_id"] = 0,
				["right_id"] = 14,
				["right_top_id"] = 0,
				["show_quest"] = 8701,
				["show_type"] = 3,
				["success_factor"] = {
				},
				["success_rpgitem"] = {
				},
				["unlock_factors"] = {
				},
				["unlock_hide"] = false,
				["unlock_nodes"] = {
				},
				["unlock_quests"] = {
					8701,
				},
				["unlock_rpgitem"] = {
				},
				["unlock_tips"] = "",
			},
			[14] = {
				["ID"] = 14,
				["chapter_id"] = 197,
				["choice_factor"] = {
				},
				["choice_modify_quest"] = {
				},
				["choice_rpgitem"] = {
				},
				["cid"] = 14,
				["desc"] = "",
				["desc_unlock"] = "",
				["ending"] = {
				},
				["event_days_offset"] = 1,
				["exit_id"] = 0,
				["icon"] = "haicuo_story_level_4",
				["ignore_around_complete"] = true,
				["image"] = "2",
				["in_factor"] = {
				},
				["involve_ids"] = {
				},
				["is_enable"] = true,
				["is_ending"] = false,
				["is_exit"] = false,
				["is_hide"] = false,
				["is_start"] = false,
				["is_two"] = false,
				["left_bottom_id"] = 0,
				["left_id"] = 13,
				["left_top_id"] = 0,
				["level_id"] = 3,
				["location"] = {
					-350,
					195,
				},
				["map_id"] = 1,
				["modify_quest"] = {
				},
				["mutex_ids"] = {
				},
				["mutex_pack_ids"] = {
				},
				["pre_ending"] = {
				},
				["rckey"] = "1_14",
				["reward_item_pack"] = {
				},
				["rid"] = 1,
				["right_bottom_id"] = 0,
				["right_id"] = 15,
				["right_top_id"] = 0,
				["show_quest"] = 8702,
				["show_type"] = 3,
				["success_factor"] = {
				},
				["success_rpgitem"] = {
				},
				["unlock_factors"] = {
				},
				["unlock_hide"] = false,
				["unlock_nodes"] = {
				},
				["unlock_quests"] = {
					8702,
				},
				["unlock_rpgitem"] = {
				},
				["unlock_tips"] = "",
			},
			[15] = {
				["ID"] = 15,
				["chapter_id"] = 198,
				["choice_factor"] = {
				},
				["choice_modify_quest"] = {
				},
				["choice_rpgitem"] = {
				},
				["cid"] = 15,
				["desc"] = "",
				["desc_unlock"] = "",
				["ending"] = {
				},
				["event_days_offset"] = 1,
				["exit_id"] = 0,
				["icon"] = "haicuo_story_level_3",
				["ignore_around_complete"] = true,
				["image"] = "2",
				["in_factor"] = {
				},
				["involve_ids"] = {
				},
				["is_enable"] = true,
				["is_ending"] = false,
				["is_exit"] = false,
				["is_hide"] = false,
				["is_start"] = false,
				["is_two"] = false,
				["left_bottom_id"] = 0,
				["left_id"] = 14,
				["left_top_id"] = 0,
				["level_id"] = 8,
				["location"] = {
					-394,
					41,
				},
				["map_id"] = 1,
				["modify_quest"] = {
				},
				["mutex_ids"] = {
				},
				["mutex_pack_ids"] = {
				},
				["pre_ending"] = {
				},
				["rckey"] = "1_15",
				["reward_item_pack"] = {
				},
				["rid"] = 1,
				["right_bottom_id"] = 0,
				["right_id"] = 16,
				["right_top_id"] = 0,
				["show_quest"] = 8675,
				["show_type"] = 3,
				["success_factor"] = {
				},
				["success_rpgitem"] = {
				},
				["unlock_factors"] = {
				},
				["unlock_hide"] = false,
				["unlock_nodes"] = {
				},
				["unlock_quests"] = {
					8675,
				},
				["unlock_rpgitem"] = {
				},
				["unlock_tips"] = "",
			},
			[16] = {
				["ID"] = 16,
				["chapter_id"] = 198,
				["choice_factor"] = {
				},
				["choice_modify_quest"] = {
				},
				["choice_rpgitem"] = {
				},
				["cid"] = 16,
				["desc"] = "",
				["desc_unlock"] = "",
				["ending"] = {
				},
				["event_days_offset"] = 1,
				["exit_id"] = 0,
				["icon"] = "haicuo_story_level_3",
				["ignore_around_complete"] = true,
				["image"] = "2",
				["in_factor"] = {
				},
				["involve_ids"] = {
				},
				["is_enable"] = true,
				["is_ending"] = false,
				["is_exit"] = false,
				["is_hide"] = false,
				["is_start"] = false,
				["is_two"] = false,
				["left_bottom_id"] = 0,
				["left_id"] = 15,
				["left_top_id"] = 0,
				["level_id"] = 9,
				["location"] = {
					-376,
					-111,
				},
				["map_id"] = 1,
				["modify_quest"] = {
				},
				["mutex_ids"] = {
				},
