{
	[10001] = {
		["efficiency"] = 1,
		["gain_id"] = 10001,
		["group_type"] = 1,
		["home_resource_output_cost"] = {
			[3] = 1,
		},
		["home_resource_use_cost"] = {
		},
		["id"] = 10001,
		["is_enable"] = true,
		["is_reward_enable"] = true,
		["item_output_cost"] = {
		},
		["item_use_cost"] = {
		},
		["level"] = 1,
		["max_store"] = 60,
		["name"] = "重组蛋白",
		["output_time"] = 1200,
		["type"] = 10001,
	},
	[10002] = {
		["efficiency"] = 1,
		["gain_id"] = 10002,
		["group_type"] = 1,
		["home_resource_output_cost"] = {
			[3] = 1,
		},
		["home_resource_use_cost"] = {
		},
		["id"] = 10002,
		["is_enable"] = true,
		["is_reward_enable"] = true,
		["item_output_cost"] = {
		},
		["item_use_cost"] = {
		},
		["level"] = 2,
		["max_store"] = 80,
		["name"] = "重组蛋白",
		["output_time"] = 1080,
		["type"] = 10001,
	},
	[10003] = {
		["efficiency"] = 1,
		["gain_id"] = 10004,
		["group_type"] = 1,
		["home_resource_output_cost"] = {
			[4] = 1,
		},
		["home_resource_use_cost"] = {
		},
		["id"] = 10003,
		["is_enable"] = true,
		["is_reward_enable"] = true,
		["item_output_cost"] = {
		},
		["item_use_cost"] = {
		},
		["level"] = 2,
		["max_store"] = 48,
		["name"] = "神经活性剂",
		["output_time"] = 1800,
		["type"] = 10002,
	},
	[1] = {
		["efficiency"] = 1,
		["gain_id"] = 0,
		["group_type"] = 0,
		["home_resource_output_cost"] = {
			1,
		},
		["home_resource_use_cost"] = {
		},
		["id"] = 1,
		["is_enable"] = true,
		["is_reward_enable"] = false,
		["item_output_cost"] = {
		},
		["item_use_cost"] = {
		},
		["level"] = 1,
		["max_store"] = 480,
		["name"] = "多维拉练器",
		["output_time"] = 150,
		["type"] = 1,
	},
	[2] = {
		["efficiency"] = 1,
		["gain_id"] = 0,
		["group_type"] = 0,
		["home_resource_output_cost"] = {
			1,
		},
		["home_resource_use_cost"] = {
		},
		["id"] = 2,
		["is_enable"] = true,
		["is_reward_enable"] = false,
		["item_output_cost"] = {
		},
		["item_use_cost"] = {
		},
		["level"] = 2,
		["max_store"] = 540,
		["name"] = "多维拉练器",
		["output_time"] = 140,
		["type"] = 1,
	},
	[3] = {
		["efficiency"] = 1,
		["gain_id"] = 0,
		["group_type"] = 0,
		["home_resource_output_cost"] = {
			1,
		},
		["home_resource_use_cost"] = {
		},
		["id"] = 3,
		["is_enable"] = true,
		["is_reward_enable"] = false,
		["item_output_cost"] = {
		},
		["item_use_cost"] = {
		},
		["level"] = 3,
		["max_store"] = 630,
		["name"] = "多维拉练器",
		["output_time"] = 130,
		["type"] = 1,
	},
	[4] = {
		["efficiency"] = 1,
		["gain_id"] = 0,
		["group_type"] = 0,
		["home_resource_output_cost"] = {
			1,
		},
		["home_resource_use_cost"] = {
		},
		["id"] = 4,
		["is_enable"] = true,
		["is_reward_enable"] = false,
		["item_output_cost"] = {
		},
		["item_use_cost"] = {
		},
		["level"] = 4,
		["max_store"] = 720,
		["name"] = "多维拉练器",
		["output_time"] = 120,
		["type"] = 1,
	},
	[5] = {
		["efficiency"] = 1,
		["gain_id"] = 0,
		["group_type"] = 0,
		["home_resource_output_cost"] = {
			[2] = 1,
		},
		["home_resource_use_cost"] = {
		},
		["id"] = 5,
		["is_enable"] = true,
		["is_reward_enable"] = false,
		["item_output_cost"] = {
		},
		["item_use_cost"] = {
		},
		["level"] = 2,
		["max_store"] = 360,
		["name"] = "实战BOXER·Ω型",
		["output_time"] = 220,
		["type"] = 2,
	},
	[6] = {
		["efficiency"] = 1,
		["gain_id"] = 0,
		["group_type"] = 0,
		["home_resource_output_cost"] = {
			[2] = 1,
		},
		["home_resource_use_cost"] = {
		},
		["id"] = 6,
		["is_enable"] = true,
		["is_reward_enable"] = false,
		["item_output_cost"] = {
		},
		["item_use_cost"] = {
		},
		["level"] = 3,
		["max_store"] = 420,
		["name"] = "实战BOXER·Ω型",
		["output_time"] = 200,
		["type"] = 2,
	},
	[7] = {
		["efficiency"] = 1,
		["gain_id"] = 0,
		["group_type"] = 0,
		["home_resource_output_cost"] = {
			[2] = 1,
		},
		["home_resource_use_cost"] = {
		},
		["id"] = 7,
		["is_enable"] = true,
		["is_reward_enable"] = false,
		["item_output_cost"] = {
		},
		["item_use_cost"] = {
		},
		["level"] = 4,
		["max_store"] = 480,
		["name"] = "实战BOXER·Ω型",
		["output_time"] = 180,
		["type"] = 2,
	},
}
