{
	{
		["desc"] = "一款针对性提升肌肉耐力的复合型训练器械，专用于同调者体能训练。",
		["effect_desc"] = "由初级研发室产出。",
		["group_id"] = 1,
		["icon_id"] = "home_resource_001",
		["id"] = 1,
		["is_enable"] = true,
		["max_num"] = 4294967295,
		["name"] = "多维拉练器",
		["quality"] = 2,
		["show_item_id"] = "1_47",
	},
	{
		["desc"] = "搭载有对战仪的机器人BOXER号，专用于同调者体能训练。",
		["effect_desc"] = "由初级研发室产出。",
		["group_id"] = 2,
		["icon_id"] = "home_resource_003",
		["id"] = 2,
		["is_enable"] = true,
		["max_num"] = 4294967295,
		["name"] = "实战BOXER·Ω型",
		["quality"] = 2,
		["show_item_id"] = "1_48",
	},
	{
		["desc"] = "促进神经系统修复与再生的内源性生成素，专用于同调者体能训练。",
		["effect_desc"] = "由高级研发室产出。",
		["group_id"] = 3,
		["icon_id"] = "home_resource_002",
		["id"] = 3,
		["is_enable"] = true,
		["max_num"] = 4294967295,
		["name"] = "重组蛋白",
		["quality"] = 3,
		["show_item_id"] = "1_49",
	},
	{
		["desc"] = "用于激发Ｘ细胞活性的小分子针剂，专用于同调者体能训练。",
		["effect_desc"] = "由高级研发室产出。",
		["group_id"] = 4,
		["icon_id"] = "home_resource_004",
		["id"] = 4,
		["is_enable"] = true,
		["max_num"] = 4294967295,
		["name"] = "神经活性剂",
		["quality"] = 3,
		["show_item_id"] = "1_50",
	},
}
