{
	["101"] = {
		{
			{
				["depends"] = {
				},
				["desc"] = "基础体质加成+1%",
				["group"] = 0,
				["home_resource_use_cost"] = {
					10,
				},
				["icon"] = "training_skill_003",
				["id"] = 1,
				["is_enable"] = true,
				["item_use_cost"] = {
				},
				["level"] = 1,
				["name"] = "体质",
				["prev_ids"] = {
				},
				["prev_relation"] = 1,
				["screen_x"] = 490,
				["screen_y"] = -60,
				["time"] = 3,
				["values"] = {
					{
						["key"] = "prop_num_card_hp_max",
						["value"] = 1,
						["value_type"] = {
							1,
							0,
						},
					},
				},
			},
			{
				["depends"] = {
				},
				["desc"] = "基础体质加成+2%",
				["group"] = 0,
				["home_resource_use_cost"] = {
					20,
				},
				["icon"] = "training_skill_003",
				["id"] = 1,
				["is_enable"] = true,
				["item_use_cost"] = {
				},
				["level"] = 2,
				["name"] = "体质",
				["prev_ids"] = {
				},
				["prev_relation"] = 1,
				["screen_x"] = 490,
				["screen_y"] = -60,
				["time"] = 3600,
				["values"] = {
					{
						["key"] = "prop_num_card_hp_max",
						["value"] = 2,
						["value_type"] = {
							1,
							0,
						},
					},
				},
			},
			{
				["depends"] = {
				},
				["desc"] = "基础体质加成+3%",
				["group"] = 0,
				["home_resource_use_cost"] = {
					50,
				},
				["icon"] = "training_skill_003",
				["id"] = 1,
				["is_enable"] = true,
				["item_use_cost"] = {
				},
				["level"] = 3,
				["name"] = "体质",
				["prev_ids"] = {
				},
				["prev_relation"] = 1,
				["screen_x"] = 490,
				["screen_y"] = -60,
				["time"] = 5400,
				["values"] = {
					{
						["key"] = "prop_num_card_hp_max",
						["value"] = 3,
						["value_type"] = {
							1,
							0,
						},
					},
				},
			},
			{
				["depends"] = {
					2,
				},
				["desc"] = "基础体质加成+4%",
				["group"] = 0,
				["home_resource_use_cost"] = {
					90,
					15,
				},
				["icon"] = "training_skill_003",
				["id"] = 1,
				["is_enable"] = true,
				["item_use_cost"] = {
				},
				["level"] = 4,
				["name"] = "体质",
				["prev_ids"] = {
				},
				["prev_relation"] = 1,
				["screen_x"] = 490,
				["screen_y"] = -60,
				["time"] = 10800,
				["values"] = {
					{
						["key"] = "prop_num_card_hp_max",
						["value"] = 4,
						["value_type"] = {
							1,
							0,
						},
					},
				},
			},
			{
				["depends"] = {
					2,
				},
				["desc"] = "基础体质加成+5%",
				["group"] = 0,
				["home_resource_use_cost"] = {
					160,
					40,
				},
				["icon"] = "training_skill_003",
				["id"] = 1,
				["is_enable"] = true,
				["item_use_cost"] = {
				},
				["level"] = 5,
