{
	{
		{
			["depends"] = {
			},
			["desc"] = "生命加成+1",
			["group"] = 0,
			["home_resource_use_cost"] = {
				10,
			},
			["icon"] = "training_skill_none",
			["id"] = 1,
			["item_use_cost"] = {
			},
			["level"] = 1,
			["prev_ids"] = {
			},
			["prev_relation"] = 1,
			["screen_x"] = 490,
			["screen_y"] = -60,
			["time"] = 1800,
		},
		{
			["depends"] = {
			},
			["desc"] = "生命加成+2",
			["group"] = 0,
			["home_resource_use_cost"] = {
				20,
			},
			["icon"] = "training_skill_none",
			["id"] = 1,
			["item_use_cost"] = {
			},
			["level"] = 2,
			["prev_ids"] = {
			},
			["prev_relation"] = 1,
			["screen_x"] = 490,
			["screen_y"] = -60,
			["time"] = 3600,
		},
		{
			["depends"] = {
			},
			["desc"] = "生命加成+3",
			["group"] = 0,
			["home_resource_use_cost"] = {
				50,
			},
			["icon"] = "training_skill_none",
			["id"] = 1,
			["item_use_cost"] = {
			},
			["level"] = 3,
			["prev_ids"] = {
			},
			["prev_relation"] = 1,
			["screen_x"] = 490,
			["screen_y"] = -60,
			["time"] = 5400,
		},
		{
			["depends"] = {
				2,
			},
			["desc"] = "生命加成+4",
			["group"] = 0,
			["home_resource_use_cost"] = {
				90,
				15,
			},
			["icon"] = "training_skill_none",
			["id"] = 1,
			["item_use_cost"] = {
			},
			["level"] = 4,
			["prev_ids"] = {
			},
			["prev_relation"] = 1,
			["screen_x"] = 490,
			["screen_y"] = -60,
			["time"] = 10800,
		},
		{
			["depends"] = {
				2,
			},
			["desc"] = "生命加成+5",
			["group"] = 0,
			["home_resource_use_cost"] = {
				160,
				40,
			},
			["icon"] = "training_skill_none",
			["id"] = 1,
			["item_use_cost"] = {
			},
			["level"] = 5,
			["prev_ids"] = {
			},
			["prev_relation"] = 1,
			["screen_x"] = 490,
			["screen_y"] = -60,
			["time"] = 21600,
		},
	},
	{
		{
			["depends"] = {
				3,
			},
			["desc"] = "生命加成+2",
			["group"] = 0,
			["home_resource_use_cost"] = {
				[1] = 100,
				[3] = 10,
			},
			["icon"] = "training_skill_none",
			["id"] = 2,
			["item_use_cost"] = {
			},
			["level"] = 1,
			["prev_ids"] = {
				{
					1,
					5,
				},
			},
			["prev_relation"] = 1,
			["screen_x"] = 490,
			["screen_y"] = 60,
			["time"] = 7200,
		},
		{
			["depends"] = {
				3,
			},
			["desc"] = "生命加成+4",
			["group"] = 0,
			["home_resource_use_cost"] = {
				[1] = 200,
				[3] = 20,
			},
			["icon"] = "training_skill_none",
			["id"] = 2,
