{
	{
		["lv"] = 1,
		["manage_count_max"] = 2,
		["member_count_max"] = 30,
		["upgrade_costs"] = 15000,
		["weekly_bankable_headcount_max"] = 50,
	},
	{
		["lv"] = 2,
		["manage_count_max"] = 2,
		["member_count_max"] = 30,
		["upgrade_costs"] = 30000,
		["weekly_bankable_headcount_max"] = 50,
	},
	{
		["lv"] = 3,
		["manage_count_max"] = 3,
		["member_count_max"] = 30,
		["upgrade_costs"] = 45000,
		["weekly_bankable_headcount_max"] = 50,
	},
	{
		["lv"] = 4,
		["manage_count_max"] = 3,
		["member_count_max"] = 30,
		["upgrade_costs"] = 60000,
		["weekly_bankable_headcount_max"] = 50,
	},
	{
		["lv"] = 5,
		["manage_count_max"] = 4,
		["member_count_max"] = 30,
		["upgrade_costs"] = 90000,
		["weekly_bankable_headcount_max"] = 50,
	},
	{
		["lv"] = 6,
		["manage_count_max"] = 4,
		["member_count_max"] = 30,
		["upgrade_costs"] = 120000,
		["weekly_bankable_headcount_max"] = 50,
	},
	{
		["lv"] = 7,
		["manage_count_max"] = 5,
		["member_count_max"] = 30,
		["upgrade_costs"] = 180000,
		["weekly_bankable_headcount_max"] = 50,
	},
	{
		["lv"] = 8,
		["manage_count_max"] = 5,
		["member_count_max"] = 30,
		["upgrade_costs"] = 240000,
		["weekly_bankable_headcount_max"] = 50,
	},
	{
		["lv"] = 9,
		["manage_count_max"] = 5,
		["member_count_max"] = 30,
		["upgrade_costs"] = 300000,
		["weekly_bankable_headcount_max"] = 50,
	},
	{
		["lv"] = 10,
		["manage_count_max"] = 5,
		["member_count_max"] = 30,
		["upgrade_costs"] = 999999999,
		["weekly_bankable_headcount_max"] = 50,
	},
}
