{
	[16777217] = {
		["batch_use"] = false,
		["card_exp"] = 0,
		["consume_count"] = 1,
		["desc"] = "纪念1.0策划整合\n纪念1.1策划整合和琦琦的奶茶",
		["effect_desc"] = "“……”",
		["effects"] = {
		},
		["expire_period_count"] = 2,
		["expire_scheme_id"] = 1,
		["expire_type"] = 1,
		["extra_values"] = {
			"utip:使用",
			"dtip1:白字",
			"dtip2:白字",
		},
		["icon_id"] = "itm_651_000",
		["klass"] = 2,
		["max_own"] = 1,
		["name"] = "神奇肚兜",
		["phantom_exp"] = 0,
		["quality"] = 6,
		["show_usable_hint"] = false,
		["source_desc"] = "",
		["tid"] = 16777217,
		["usable"] = 0,
	},
	[16777218] = {
		["batch_use"] = false,
		["card_exp"] = 0,
		["consume_count"] = 0,
		["desc"] = "打开GM功能面板，打开后按F12可以关闭。",
		["effect_desc"] = "“…纪念2018/8/9…”",
		["effects"] = {
		},
		["expire_time"] = 10000,
		["expire_type"] = 0,
		["extra_values"] = {
		},
		["icon_id"] = "itm_651_000",
		["klass"] = 2,
		["max_own"] = 1,
		["name"] = "GM道具",
		["phantom_exp"] = 0,
		["quality"] = 6,
		["show_usable_hint"] = false,
		["source_desc"] = "",
		["tid"] = 16777218,
		["usable"] = 1,
	},
	[16777219] = {
		["batch_use"] = false,
		["card_exp"] = 0,
		["consume_count"] = 0,
		["desc"] = "？？？？？？\n？？？\n？？？？？？？？？？？",
		["effect_desc"] = "“未知总是令人感到好奇……亦或恐惧？”",
		["effects"] = {
		},
		["expire_type"] = 0,
		["extra_values"] = {
		},
		["icon_id"] = "interrogationmark",
		["klass"] = 2,
		["name"] = "未知之物",
		["phantom_exp"] = 0,
		["quality"] = 3,
		["show_usable_hint"] = false,
		["source_desc"] = "使用后究竟会发生些什么呢？",
		["tid"] = 16777219,
		["usable"] = 1,
	},
	[16777220] = {
		["batch_use"] = false,
		["card_exp"] = 0,
		["consume_count"] = 1,
		["desc"] = "Vein OS高级权限许可之一，用于重新设定监督的姓名信息。",
		["effect_desc"] = "",
		["effects"] = {
		},
		["expire_type"] = 0,
		["extra_values"] = {
		},
		["icon_id"] = "rename_001",
		["klass"] = 2,
		["name"] = "ID信息重录许可",
		["phantom_exp"] = 0,
		["quality"] = 5,
		["show_usable_hint"] = false,
		["source_desc"] = "",
		["tid"] = 16777220,
		["usable"] = 0,
	},
	[16777221] = {
		["batch_use"] = false,
		["card_exp"] = 0,
		["consume_count"] = 1,
		["desc"] = "Vein OS高级权限许可之一，用于重新设定监督的性别信息。",
		["effect_desc"] = "更改体征信息后，剧情、记忆烙痕、壁纸等也会同步更改。",
		["effects"] = {
		},
		["expire_type"] = 0,
		["extra_values"] = {
		},
		["icon_id"] = "gender_001",
		["klass"] = 2,
		["name"] = "体征信息重录许可",
		["phantom_exp"] = 0,
		["quality"] = 5,
		["show_usable_hint"] = false,
		["source_desc"] = "",
		["tid"] = 16777221,
		["usable"] = 0,
	},
	[16777222] = {
		["batch_use"] = false,
		["card_exp"] = 0,
		["consume_count"] = 1,
		["desc"] = "内含诸多稀有之物。",
		["effect_desc"] = "蒙尘之物，但也或有明光之时。",
		["effects"] = {
			["Effect_add_energy"] = "50",
		},
		["expire_type"] = 0,
		["extra_values"] = {
		},
		["icon_id"] = "sds_306_000",
		["klass"] = 2,
		["name"] = "测试道具2",
		["phantom_exp"] = 0,
		["quality"] = 3,
		["show_usable_hint"] = false,
		["source_desc"] = "使用：打开。",
		["tid"] = 16777222,
		["usable"] = 1,
	},
	[16777223] = {
		["batch_use"] = false,
		["card_exp"] = 0,
		["consume_count"] = 1,
		["desc"] = "值钱的东西。",
		["effect_desc"] = "",
		["effects"] = {
			["Effect_home_resource"] = "1;1000#2;300#3;50",
		},
		["expire_type"] = 0,
		["extra_values"] = {
		},
		["icon_id"] = "acc_208_000",
		["klass"] = 2,
		["name"] = "测试道具3",
		["phantom_exp"] = 0,
		["quality"] = 3,
		["show_usable_hint"] = false,
		["source_desc"] = "",
		["tid"] = 16777223,
		["usable"] = 2,
	},
	[16777224] = {
		["batch_use"] = true,
		["card_exp"] = 0,
		["consume_count"] = 1,
		["desc"] = "铃铛式的肚兜。",
		["effect_desc"] = "",
		["effects"] = {
			["Effect_reward_items"] = "reward_level$33_34",
		},
		["expire_type"] = 0,
		["extra_values"] = {
		},
		["icon_id"] = "sds_309_000",
		["klass"] = 2,
		["name"] = "测试道具4",
		["phantom_exp"] = 0,
		["quality"] = 6,
		["show_usable_hint"] = false,
		["source_desc"] = "",
		["tid"] = 16777224,
		["usable"] = 1,
	},
	[16777225] = {
		["batch_use"] = false,
		["card_exp"] = 0,
		["consume_count"] = 1,
		["desc"] = "图录志卷轴。",
		["effect_desc"] = "",
		["effects"] = {
			["Effect_card_activate"] = "101#102#201",
			["Effect_phantom_activate"] = "1000",
		},
		["expire_type"] = 0,
		["extra_values"] = {
		},
		["icon_id"] = "scr_009_000",
		["klass"] = 2,
		["name"] = "测试道具5",
		["phantom_exp"] = 0,
		["quality"] = 6,
		["show_usable_hint"] = false,
		["source_desc"] = "",
		["tid"] = 16777225,
		["usable"] = 2,
	},
	[16777226] = {
		["batch_use"] = false,
		["card_exp"] = 0,
		["consume_count"] = 1,
		["desc"] = "记录了单条特殊频段数据的线索，可在深潜系统中定位到一名同调者位置。",
		["effect_desc"] = "",
		["effects"] = {
		},
		["expire_type"] = 0,
		["extra_values"] = {
		},
		["icon_id"] = "recruit_001",
		["klass"] = 1,
		["name"] = "同调线索",
		["phantom_exp"] = 0,
		["quality"] = 5,
		["show_usable_hint"] = false,
		["source_desc"] = "",
		["tid"] = 16777226,
		["usable"] = 0,
	},
	[16777227] = {
		["batch_use"] = false,
		["card_exp"] = 0,
		["consume_count"] = 1,
		["desc"] = "记录了多条特殊频段数据的线索组，可在深潜系统中同时定位到十名同调者的位置。",
		["effect_desc"] = "",
		["effects"] = {
		},
		["expire_type"] = 0,
		["extra_values"] = {
		},
		["icon_id"] = "recruit_002",
		["klass"] = 1,
		["name"] = "同调线索组",
		["phantom_exp"] = 0,
		["quality"] = 5,
		["show_usable_hint"] = false,
		["source_desc"] = "",
		["tid"] = 16777227,
		["usable"] = 0,
	},
	[16777228] = {
		["batch_use"] = false,
		["card_exp"] = 0,
		["consume_count"] = 1,
		["desc"] = "一枚特制芯片，可以承载一段世界记忆。",
		["effect_desc"] = "你的手中握有希望……！",
		["effects"] = {
		},
		["expire_type"] = 0,
		["extra_values"] = {
		},
		["icon_id"] = "recruit_004",
		["klass"] = 1,
		["name"] = "一刹闪回",
		["phantom_exp"] = 0,
		["quality"] = 5,
		["show_usable_hint"] = false,
		["source_desc"] = "",
		["tid"] = 16777228,
		["usable"] = 0,
	},
	[16777229] = {
		["batch_use"] = false,
		["card_exp"] = 0,
		["consume_count"] = 1,
		["desc"] = "一组特制芯片，可以承载十段世界记忆片段。",
		["effect_desc"] = "那些早已忘却的过往摧枯拉朽、呼啸而来。",
		["effects"] = {
		},
		["expire_type"] = 0,
		["extra_values"] = {
		},
		["icon_id"] = "recruit_005",
		["klass"] = 1,
		["name"] = "多重闪回",
		["phantom_exp"] = 0,
		["quality"] = 5,
		["show_usable_hint"] = false,
		["source_desc"] = "",
		["tid"] = 16777229,
		["usable"] = 0,
	},
	[16777230] = {
		["batch_use"] = false,
		["card_exp"] = 0,
		["consume_count"] = 1,
		["desc"] = "通过友情勋章兑换获取的物品，可在海域同游中进行一次潜航。",
		["effect_desc"] = "这是一份来自伙伴的礼物！",
		["effects"] = {
		},
		["expire_type"] = 0,
		["extra_values"] = {
		},
		["icon_id"] = "recruit_007",
		["klass"] = 1,
		["name"] = "同游券",
		["phantom_exp"] = 0,
		["quality"] = 4,
		["show_usable_hint"] = false,
		["source_desc"] = "",
		["tid"] = 16777230,
		["usable"] = 0,
	},
	[16777231] = {
		["batch_use"] = false,
		["card_exp"] = 0,
		["consume_count"] = 1,
		["desc"] = "可在[精神深潜·限域巡回]中定位十名同调者的位置，且[c 59abff]必定[/c]包含一位[c 59abff]6星同调者[/c]。",
		["effect_desc"] = "[精神深潜·限域巡回]内6星同调者：莫红袖、云无月、昊苍、耶芙娜、卯绒绒、瞳、崔远之、北洛、龙晴、紫都。",
		["effects"] = {
		},
		["expire_type"] = 0,
		["extra_values"] = {
		},
		["icon_id"] = "recruit_015",
		["klass"] = 1,
		["name"] = "拾友·专属协议",
		["phantom_exp"] = 0,
		["quality"] = 5,
		["show_usable_hint"] = false,
		["source_desc"] = "",
		["tid"] = 16777231,
		["usable"] = 0,
	},
	[16777237] = {
		["batch_use"] = false,
		["card_exp"] = 0,
		["consume_count"] = 1,
		["desc"] = "使用后可获得「老板」的协助。",
		["effect_desc"] = "外勤作战实在是太危险了，带上它吧。",
		["effects"] = {
			["Effect_card_activate"] = "101",
		},
		["expire_type"] = 0,
		["extra_values"] = {
		},
		["icon_id"] = "item_ax02lb",
		["klass"] = 1,
		["name"] = "蒙娜咪莎",
		["phantom_exp"] = 0,
		["quality"] = 1,
		["show_usable_hint"] = false,
		["source_desc"] = "",
		["tid"] = 16777237,
		["usable"] = 2,
	},
	[16777238] = {
		["batch_use"] = false,
		["card_exp"] = 0,
		["consume_count"] = 1,
		["desc"] = "使用后可获得「Sweeper-EX」的协助。",
		["effect_desc"] = "外勤作战实在是太危险了，带上它吧。",
		["effects"] = {
			["Effect_card_activate"] = "102",
		},
		["expire_type"] = 0,
		["extra_values"] = {
		},
		["icon_id"] = "item_ax01sweeper",
		["klass"] = 1,
		["name"] = "机械甜心",
		["phantom_exp"] = 0,
		["quality"] = 1,
		["show_usable_hint"] = false,
		["source_desc"] = "",
		["tid"] = 16777238,
		["usable"] = 2,
	},
	[16777239] = {
		["batch_use"] = false,
		["card_exp"] = 0,
		["consume_count"] = 1,
		["desc"] = "使用后可获得「豹富」的协助。",
		["effect_desc"] = "外勤作战实在是太危险了，带上它吧。",
		["effects"] = {
			["Effect_card_activate"] = "201",
		},
		["expire_type"] = 0,
		["extra_values"] = {
		},
		["icon_id"] = "item_ax03bt",
		["klass"] = 1,
		["name"] = "好运天降",
		["phantom_exp"] = 0,
		["quality"] = 1,
		["show_usable_hint"] = false,
		["source_desc"] = "",
		["tid"] = 16777239,
		["usable"] = 2,
	},
	[16777240] = {
		["batch_use"] = true,
		["card_exp"] = 0,
		["consume_count"] = 1,
		["desc"] = "由Scope思柝制药最新研发的口服药剂，可用于恢复精神力。",
		["effect_desc"] = "网传，深呼吸、冥想、少食多餐可以达到同样的效果。",
		["effects"] = {
