{
	{
		["ID"] = 1,
		["is_default_unlock"] = true,
		["mask_path"] = "",
		["path"] = "interface/resource/Game/RcMemory/rc_memory_title_route_01.png",
		["size_h"] = 108,
		["size_w"] = 108,
		["type"] = 4,
	},
	{
		["ID"] = 2,
		["is_default_unlock"] = true,
		["mask_path"] = "",
		["path"] = "interface/resource/Game/RcMemory/rc_memory_title_route_02.png",
		["size_h"] = 108,
		["size_w"] = 108,
		["type"] = 4,
	},
	{
		["ID"] = 3,
		["is_default_unlock"] = true,
		["mask_path"] = "",
		["path"] = "interface/resource/Game/RcMemory/rc_memory_title_route_03.png",
		["size_h"] = 108,
		["size_w"] = 108,
		["type"] = 4,
	},
	{
		["ID"] = 4,
		["is_default_unlock"] = true,
		["mask_path"] = "",
		["path"] = "interface/resource/Game/RcMemory/rc_memory_title_route_04.png",
		["size_h"] = 108,
		["size_w"] = 108,
		["type"] = 4,
	},
	{
		["ID"] = 5,
		["is_default_unlock"] = true,
		["mask_path"] = "",
		["path"] = "interface/resource/Game/RcMemory/rc_memory_title_route_05.png",
		["size_h"] = 108,
		["size_w"] = 108,
		["type"] = 4,
	},
	{
		["ID"] = 6,
		["is_default_unlock"] = true,
		["mask_path"] = "",
		["path"] = "interface/resource/Game/RcMemory/rc_memory_title_route_06.png",
		["size_h"] = 108,
		["size_w"] = 108,
		["type"] = 4,
	},
	{
		["ID"] = 7,
		["is_default_unlock"] = true,
		["mask_path"] = "",
		["path"] = "interface/resource/Game/RcMemory/rc_memory_title_route_07.png",
		["size_h"] = 108,
		["size_w"] = 108,
		["type"] = 4,
	},
	{
		["ID"] = 8,
		["is_default_unlock"] = true,
		["mask_path"] = "",
		["path"] = "interface/resource/Game/RcMemory/rc_memory_title_route_08.png",
		["size_h"] = 108,
		["size_w"] = 108,
		["type"] = 4,
	},
	{
		["ID"] = 9,
		["is_default_unlock"] = true,
		["mask_path"] = "",
		["path"] = "interface/resource/Game/RcMemory/rc_memory_title_route_09.png",
		["size_h"] = 108,
		["size_w"] = 108,
		["type"] = 4,
	},
	{
		["ID"] = 10,
		["is_default_unlock"] = true,
		["mask_path"] = "",
		["path"] = "interface/resource/Game/RcMemory/rc_memory_title_route_10.png",
		["size_h"] = 108,
		["size_w"] = 108,
		["type"] = 4,
	},
	{
		["ID"] = 11,
		["is_default_unlock"] = true,
		["mask_path"] = "",
		["path"] = "interface/resource/Game/Homepage/menu_member_normal.png",
		["size_h"] = 108,
		["size_w"] = 108,
		["type"] = 4,
	},
	{
		["ID"] = 12,
		["is_default_unlock"] = true,
		["mask_path"] = "",
		["path"] = "interface/resource/Game/Homepage/menu_phantom_normal.png",
		["size_h"] = 108,
		["size_w"] = 108,
		["type"] = 4,
	},
	{
		["ID"] = 13,
		["is_default_unlock"] = true,
		["mask_path"] = "",
		["path"] = "interface/resource/Game/CreativeStickerBG/sticker_bg_01.png",
		["size_h"] = 720,
		["size_w"] = 1560,
		["type"] = 1,
	},
	{
		["ID"] = 14,
		["is_default_unlock"] = false,
		["mask_path"] = "",
		["path"] = "interface/resource/Game/HomepageBG/stickers_bg_01.png",
		["size_h"] = 720,
		["size_w"] = 1560,
		["type"] = 1,
	},
	{
		["ID"] = 15,
		["is_default_unlock"] = false,
		["mask_path"] = "",
		["path"] = "interface/resource/Game/HomepageBG/stickers_bg_02.png",
		["size_h"] = 720,
		["size_w"] = 1560,
		["type"] = 1,
	},
	{
		["ID"] = 16,
		["is_default_unlock"] = false,
		["mask_path"] = "",
		["path"] = "interface/resource/Game/HomepageBG/stickers_bg_03.png",
		["size_h"] = 720,
		["size_w"] = 1560,
		["type"] = 1,
	},
	{
		["ID"] = 17,
		["is_default_unlock"] = false,
		["mask_path"] = "",
		["path"] = "interface/resource/Game/HomepageBG/stickers_bg_04.png",
		["size_h"] = 720,
		["size_w"] = 1560,
		["type"] = 1,
	},
	{
		["ID"] = 18,
		["is_default_unlock"] = false,
		["mask_path"] = "",
