{
	{
		["ID"] = 1,
		["class_name"] = "名片装饰",
		["icon_path"] = "",
		["image_path"] = "add_item_type_01.png",
	},
	{
		["ID"] = 2,
		["class_name"] = "同调者",
		["icon_path"] = "",
		["image_path"] = "add_item_type_04.png",
	},
	{
		["ID"] = 3,
		["class_name"] = "记忆烙痕",
		["icon_path"] = "",
		["image_path"] = "add_item_type_03.png",
	},
	{
		["ID"] = 4,
		["class_name"] = "图鉴",
		["icon_path"] = "",
		["image_path"] = "add_item_type_05.png",
	},
	{
		["ID"] = 5,
		["class_name"] = "进度徽记",
		["icon_path"] = "",
		["image_path"] = "add_item_type_06.png",
	},
	{
		["ID"] = 6,
		["class_name"] = "动态立绘",
		["icon_path"] = "",
		["image_path"] = "add_item_type_02.png",
	},
}
