{
	[1001] = {
		["ID"] = 1001,
		["category_id"] = "战斗教学",
		["category_sort_idx"] = 2,
		["class_id"] = "基础操作",
		["class_sort_idx"] = 1,
		["desc"] = "在战斗中，可以[c 41baff]施放技能[/c]来应对多种情况，拖动[c 41baff]技能方向[/c]来调整技能范围，点击[c 41baff]执行[/c]施放技能。",
		["event"] = "",
		["is_first_show"] = false,
		["is_show"] = true,
		["name"] = "技能施放",
		["reward_progress"] = 1,
		["show_key_in_faq"] = "combat_cast_skill",
		["txt_path"] = "",
		["video_path"] = "movies/combat_guide/chapter0_CastSkill01.bk2",
		["word_sort_idx"] = 3,
		["word_sub_sort_idx"] = 1,
	},
	[1002] = {
		["ID"] = 1002,
		["category_id"] = "战斗教学",
		["category_sort_idx"] = 2,
		["chapter_id"] = 1,
		["class_id"] = "基础操作",
		["class_sort_idx"] = 1,
		["desc"] = "在战斗开始前，可以[c 41baff]移动[/c]同调者来进行站位部署。",
		["event"] = "",
		["is_first_show"] = false,
		["is_show"] = true,
		["level_id"] = 10,
		["name"] = "战前部署",
		["reward_progress"] = 1,
		["show_key_in_faq"] = "combat_arrange_before_battle",
		["txt_path"] = "",
		["video_path"] = "movies/combat_guide/chapter0_Deploy.bk2",
		["word_sort_idx"] = 1,
		["word_sub_sort_idx"] = 1,
	},
	[1003] = {
		["ID"] = 1003,
		["category_id"] = "战斗教学",
		["category_sort_idx"] = 2,
		["class_id"] = "基础操作",
		["class_sort_idx"] = 1,
		["desc"] = "在战斗中，可以[c 41baff]移动[/c]同调者来调整技能施放位置，拖动[c 41baff]技能方向[/c]来调整技能范围，点击[c 41baff]执行[/c]施放技能。",
		["event"] = "",
		["is_first_show"] = false,
		["is_show"] = true,
		["name"] = "拖拽同调者施放技能",
		["reward_progress"] = 1,
		["show_key_in_faq"] = "combat_cast_skill_and_move",
		["txt_path"] = "",
		["video_path"] = "movies/combat_guide/chapter0_CastSkill02.bk2",
		["word_sort_idx"] = 12,
		["word_sub_sort_idx"] = 1,
	},
	[1004] = {
		["ID"] = 1004,
		["category_id"] = "战斗教学",
		["category_sort_idx"] = 2,
		["class_id"] = "基础操作",
		["class_sort_idx"] = 1,
		["desc"] = "面对超出攻击距离的敌人时，可以施放[c 41baff]战术移动[/c]，将同调者移动到敌方面前。\n施放后，会进入相应时长的[c 41baff]指令冷却[/c]状态，冷却结束后可下达下次指令。",
		["event"] = "",
		["is_first_show"] = false,
		["is_show"] = true,
		["name"] = "战术移动",
		["reward_progress"] = 1,
		["show_key_in_faq"] = "combat_move",
		["txt_path"] = "",
		["video_path"] = "movies/combat_guide/chapter0_Move.bk2",
		["word_sort_idx"] = 11,
		["word_sub_sort_idx"] = 1,
	},
	[1005] = {
		["ID"] = 1005,
		["category_id"] = "战斗教学",
		["category_sort_idx"] = 2,
		["class_id"] = "基础操作",
		["class_sort_idx"] = 1,
		["desc"] = "战斗过程中，同调者的异核技能需要[c 41baff]【充能】[/c]完成后才能再次施放；施放异核技能不受[c 41baff]指令冷却[/c]限制，也不会产生[c 41baff]指令冷却[/c]。",
		["event"] = "",
		["is_first_show"] = false,
		["is_show"] = false,
		["name"] = "异核技能·施放",
		["show_key_in_faq"] = "combat_ultraskill_cast",
		["txt_path"] = "",
		["video_path"] = "movies/combat_guide/chapter0_UltraSkill.bk2",
		["word_sort_idx"] = 100,
		["word_sub_sort_idx"] = 1,
	},
	[1006] = {
		["ID"] = 1006,
		["category_id"] = "战斗教学",
		["category_sort_idx"] = 2,
		["class_id"] = "基础操作",
		["class_sort_idx"] = 1,
		["desc"] = "某些同调者拥有辅助能力，可在战场上[c 41baff]治疗[/c]我方同调者。",
		["event"] = "",
		["is_first_show"] = false,
		["is_show"] = false,
		["name"] = "治疗技能",
		["show_key_in_faq"] = "combat_healing_skill",
		["txt_path"] = "",
		["video_path"] = "movies/combat_guide/chapter0_CastSkill03.bk2",
		["word_sort_idx"] = 101,
		["word_sub_sort_idx"] = 1,
	},
	[1007] = {
		["ID"] = 1007,
		["category_id"] = "战斗教学",
		["category_sort_idx"] = 2,
		["chapter_id"] = 1,
		["class_id"] = "基础操作",
		["class_sort_idx"] = 1,
		["desc"] = "战斗中，敌人可能分散在多个区域。\n清除当前区域的敌人后，需[c 41baff]点击地面[/c]或右侧[c 41baff]自动寻路标志[/c]前往下个区域继续战斗。",
		["event"] = "",
		["is_first_show"] = false,
		["is_show"] = true,
		["level_id"] = 3,
		["name"] = "多区域战斗",
		["reward_progress"] = 1,
		["show_key_in_faq"] = "combat_multi_areas_battle",
		["txt_path"] = "",
		["video_path"] = "TeachingPhotoBG/1004_MultiArea.png",
		["word_sort_idx"] = 13,
		["word_sub_sort_idx"] = 1,
	},
	[1008] = {
		["ID"] = 1008,
		["category_id"] = "战斗教学",
		["category_sort_idx"] = 2,
		["chapter_id"] = 1,
		["class_id"] = "基础操作",
		["class_sort_idx"] = 1,
		["desc"] = "遭遇敌方[c 41baff]空中单位[/c]袭击时，需部署擅长远程攻击的[img src=\"Interface/Resource/Game/DrawShow/icon_class04.png\" lift=\"-4\" size=\"32,32\"][c 41baff]【游徒】[/c]或[img src=\"Interface/Resource/Game/DrawShow/icon_class07.png\" lift=\"-4\" size=\"32,32\"][c 41baff]【筑术师】[/c]同调者才能有效回击。",
		["event"] = "",
		["is_first_show"] = false,
		["is_show"] = true,
		["level_id"] = 4,
		["name"] = "空中来敌",
		["reward_progress"] = 1,
		["show_key_in_faq"] = "combat_attack_air",
		["txt_path"] = "",
		["video_path"] = "TeachingPhotoBG/1005_AttackAir.png",
		["word_sort_idx"] = 14,
		["word_sub_sort_idx"] = 1,
	},
	[1009] = {
		["ID"] = 1009,
		["category_id"] = "战斗教学",
		["category_sort_idx"] = 2,
		["chapter_id"] = 1,
		["class_id"] = "基础操作",
		["class_sort_idx"] = 1,
		["desc"] = "在战斗中，可以根据不同局势，更换适合应对当前情况的同调者上场。",
		["event"] = "",
		["is_first_show"] = false,
		["is_show"] = false,
		["level_id"] = 5,
		["name"] = "整备队列",
		["show_key_in_faq"] = "combat_switch_role_before_battle",
		["txt_path"] = "",
		["video_path"] = "movies/combat_guide/DragRole01.bk2",
		["word_sort_idx"] = 102,
		["word_sub_sort_idx"] = 1,
	},
	[1010] = {
		["ID"] = 1010,
		["category_id"] = "战斗教学",
		["category_sort_idx"] = 2,
