{
	[1001] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1001,
		["affix_name"] = "屹立不倒",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100318,
		},
		["passive_role"] = {
			100475,
		},
	},
	[1002] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1002,
		["affix_name"] = "辐射电云",
		["passive_env"] = {
			100319,
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
		},
		["passive_role"] = {
		},
	},
	[1003] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1003,
		["affix_name"] = "复仇战士",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100305,
		},
		["passive_role"] = {
		},
	},
	[1004] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1004,
		["affix_name"] = "水元素精通",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100294,
		},
		["passive_role"] = {
		},
	},
	[1005] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1005,
		["affix_name"] = "炎元素精通",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100382,
		},
		["passive_role"] = {
		},
	},
	[1006] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1006,
		["affix_name"] = "如鱼得水",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100280,
		},
		["passive_role"] = {
		},
	},
	[1007] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1007,
		["affix_name"] = "导弹支援",
		["passive_env"] = {
			100307,
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
		},
		["passive_role"] = {
		},
	},
	[1008] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1008,
		["affix_name"] = "集群作战",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100377,
		},
		["passive_role"] = {
		},
	},
	[1009] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1009,
		["affix_name"] = "物理精通",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100298,
		},
		["passive_role"] = {
		},
	},
	[1010] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1010,
		["affix_name"] = "凛冬已至",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100306,
		},
		["passive_role"] = {
		},
	},
	[1011] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1011,
		["affix_name"] = "风元素精通",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100295,
		},
		["passive_role"] = {
		},
	},
	[1012] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1012,
		["affix_name"] = "短兵相接",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100377,
		},
		["passive_role"] = {
			100300,
		},
	},
	[1013] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1013,
		["affix_name"] = "理智丧失",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100308,
		},
		["passive_role"] = {
		},
	},
	[1014] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1014,
		["affix_name"] = "孤注一掷",
		["passive_env"] = {
			100379,
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
		},
		["passive_role"] = {
			100300,
		},
	},
	[1015] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1015,
		["affix_name"] = "双重压力",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
		},
		["passive_role"] = {
			100302,
		},
	},
	[1016] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1016,
		["affix_name"] = "精准狙击",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100305,
		},
		["passive_role"] = {
			100299,
		},
	},
	[1017] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1017,
		["affix_name"] = "蚀元素精通",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100296,
		},
		["passive_role"] = {
		},
	},
	[1018] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1018,
		["affix_name"] = "玻璃装甲",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100301,
		},
		["passive_role"] = {
		},
	},
	[1019] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1019,
		["affix_name"] = "微重力",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100375,
		},
		["passive_role"] = {
		},
	},
	[1020] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1020,
		["affix_name"] = "异尘余生",
		["passive_env"] = {
			100385,
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100311,
		},
		["passive_role"] = {
		},
	},
	[1021] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1021,
		["affix_name"] = "远程对峙",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100377,
		},
		["passive_role"] = {
			100299,
		},
	},
	[1022] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1022,
		["affix_name"] = "身强体壮",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100310,
		},
		["passive_role"] = {
		},
	},
	[1023] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1023,
		["affix_name"] = "一触即发",
		["passive_env"] = {
			100379,
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
		},
		["passive_role"] = {
			100299,
		},
	},
	[1024] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1024,
		["affix_name"] = "病入膏肓",
		["passive_env"] = {
			100319,
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
		},
		["passive_role"] = {
			100303,
		},
	},
	[1025] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1025,
		["affix_name"] = "生命链接",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
		},
		["passive_role"] = {
			100376,
		},
	},
	[1026] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1026,
		["affix_name"] = "复仇怒火",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100305,
		},
		["passive_role"] = {
			100300,
		},
	},
	[1027] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1027,
		["affix_name"] = "物理精通",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100316,
		},
		["passive_role"] = {
		},
	},
	[1028] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1028,
		["affix_name"] = "高能屏障",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100373,
		},
		["passive_role"] = {
		},
	},
	[1029] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1029,
		["affix_name"] = "潮汐领域",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100313,
		},
		["passive_role"] = {
		},
	},
	[1030] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1030,
		["affix_name"] = "火焰路径",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100317,
		},
		["passive_role"] = {
		},
	},
	[1031] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1031,
		["affix_name"] = "电光石火",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100309,
		},
		["passive_role"] = {
		},
	},
	[1032] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1032,
		["affix_name"] = "浓雾",
		["passive_env"] = {
			100381,
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
		},
		["passive_role"] = {
		},
	},
	[1033] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1033,
		["affix_name"] = "禁飞区",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100315,
		},
		["passive_role"] = {
		},
	},
	[1034] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1034,
		["affix_name"] = "空中拦截",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100304,
		},
		["passive_role"] = {
		},
	},
	[1035] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1035,
		["affix_name"] = "冻霜踏地",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100372,
		},
		["passive_role"] = {
		},
	},
	[1036] = {
		["affix_filter"] = {
		},
		["affix_icon"] = "",
		["affix_id"] = 1036,
		["affix_name"] = "蚀化扩散",
		["passive_env"] = {
		},
		["passive_gate"] = {
		},
		["passive_monster"] = {
			100312,
		},
		["passive_role"] = {
		},
	},
	[1037] = {
