{
	{
		["icon"] = "",
		["icon_path"] = "interface/Resource/Game/Mail/mail_portrait_vein.png",
		["name"] = "系统",
		["sender_id"] = 1,
	},
	{
		["icon"] = "af50nvzhu01",
		["icon_path"] = "",
		["name"] = "苏筱",
		["sender_id"] = 2,
	},
	{
		["icon"] = "",
		["icon_path"] = "interface/Resource/Game/Mail/portrait_seed_000.png",
		["name"] = "白荆科技后勤部",
		["sender_id"] = 3,
	},
	{
		["icon"] = "",
		["icon_path"] = "interface/Resource/Game/Mail/mail_portrait_aurogon.png",
		["name"] = "【白荆回廊】研发组",
		["sender_id"] = 4,
	},
	{
		["icon"] = "",
		["icon_path"] = "interface/Resource/Game/Mail/mail_portrait_vein.png",
		["name"] = "宝石海滩度假区",
		["sender_id"] = 5,
	},
}
