{
	["BPA_0_base_combat"] = {
		["angry_color"] = "red",
		["blood_color"] = "red",
		["bx"] = 100,
		["by"] = 100,
		["bz"] = 180,
		["cast_no_shadow"] = 0,
		["dyn_collide_radius"] = 0,
		["height"] = 180,
		["length"] = 100,
		["meat_type"] = "生肉",
		["paste_mode"] = 0,
		["prop_base_action_combat"] = 2,
		["prop_base_action_combat_idle"] = "idle_stand_base01_loop",
		["prop_base_action_debut"] = "idle_stand_base01_loop",
		["prop_base_action_normal"] = 1,
		["prop_base_action_sp_opp"] = "idle_stand_base01_loop",
		["prop_npc_ms_by_scale"] = 0,
		["prop_npc_scripts_action"] = "",
		["ride_type"] = "",
		["use_complex_bounds"] = false,
		["width"] = 100,
		["withdrawable"] = false,
	},
	["BPA_0_base_cs"] = {
		["angry_color"] = "red",
		["blood_color"] = "red",
		["bx"] = 0,
		["by"] = 0,
		["bz"] = 0,
		["cast_no_shadow"] = 0,
		["dyn_collide_radius"] = 0,
		["height"] = 180,
		["length"] = 60,
		["meat_type"] = "生肉",
		["paste_mode"] = 0,
		["prop_base_action_combat"] = 2,
		["prop_base_action_combat_idle"] = "idle_stand_base01_loop",
		["prop_base_action_debut"] = "idle_stand_base01_loop",
		["prop_base_action_normal"] = 1,
		["prop_base_action_sp_opp"] = "idle_stand_base01_loop",
		["prop_npc_ms_by_scale"] = 0,
		["prop_npc_scripts_action"] = "",
		["ride_type"] = "",
		["use_complex_bounds"] = false,
		["width"] = 60,
		["withdrawable"] = false,
	},
	["BPA_0_base_home"] = {
		["angry_color"] = "red",
		["blood_color"] = "red",
		["bx"] = 0,
		["by"] = 0,
		["bz"] = 0,
		["cast_no_shadow"] = 0,
		["dyn_collide_radius"] = 0,
		["height"] = 180,
		["length"] = 60,
		["meat_type"] = "生肉",
		["paste_mode"] = 0,
		["prop_base_action_combat"] = 2,
		["prop_base_action_combat_idle"] = "idle_stand_base01_loop",
		["prop_base_action_debut"] = "idle_stand_base01_loop",
		["prop_base_action_normal"] = 1,
		["prop_base_action_sp_opp"] = "idle_stand_base01_loop",
		["prop_npc_ms_by_scale"] = 0,
		["prop_npc_scripts_action"] = "",
		["ride_type"] = "",
		["use_complex_bounds"] = false,
		["width"] = 60,
		["withdrawable"] = false,
	},
	["BPA_0_base_main"] = {
		["angry_color"] = "red",
		["blood_color"] = "red",
		["bx"] = 0,
		["by"] = 0,
		["bz"] = 0,
		["cast_no_shadow"] = 0,
		["dyn_collide_radius"] = 0,
		["height"] = 180,
		["length"] = 60,
		["meat_type"] = "生肉",
		["paste_mode"] = 0,
		["prop_base_action_combat"] = 2,
		["prop_base_action_combat_idle"] = "idle_stand_base01_loop",
		["prop_base_action_debut"] = "idle_stand_base01_loop",
		["prop_base_action_normal"] = 1,
		["prop_base_action_sp_opp"] = "idle_stand_base01_loop",
		["prop_npc_ms_by_scale"] = 0,
		["prop_npc_scripts_action"] = "",
		["ride_type"] = "",
		["use_complex_bounds"] = false,
		["width"] = 60,
		["withdrawable"] = false,
	},
	["BPA_0_base_view"] = {
		["angry_color"] = "red",
		["blood_color"] = "red",
		["bx"] = 0,
		["by"] = 0,
		["bz"] = 0,
		["cast_no_shadow"] = 0,
		["dyn_collide_radius"] = 0,
		["height"] = 180,
		["length"] = 60,
		["meat_type"] = "生肉",
		["paste_mode"] = 0,
		["prop_base_action_combat"] = 2,
		["prop_base_action_combat_idle"] = "idle_stand_base01_loop",
		["prop_base_action_debut"] = "idle_stand_base01_loop",
		["prop_base_action_normal"] = 1,
		["prop_base_action_sp_opp"] = "idle_stand_base01_loop",
		["prop_npc_ms_by_scale"] = 0,
		["prop_npc_scripts_action"] = "",
		["ride_type"] = "",
		["use_complex_bounds"] = false,
		["width"] = 60,
