{
	[200001] = {
		["ID"] = 200001,
		["comment_count"] = 200,
		["end_offset"] = -1,
		["event"] = "version_ob",
		["fav_count"] = 38763,
		["main_text"] = "[c EC7F1E]#乌芒联动超大杯金乌奶盖# #云无月款每日限量奶茶杯#[/c] 今日全区售罄，非常感谢大家的喜爱与支持！\n\n没买到的小伙伴也别担心，每日上午9点新品准时上新，千万别错过了哦~",
		["moments_type"] = 2,
		["npc_reply_pack_list"] = {
			10002,
			10004,
			10017,
			10018,
		},
		["release_id"] = 15,
		["reply_pack_id"] = 10001,
		["start_offset"] = 0,
		["virtual_time"] = "森罗历1121年",
	},
	[200002] = {
		["ID"] = 200002,
		["comment_count"] = 100,
		["end_offset"] = 3155763600000,
		["event"] = "version_ob",
		["fav_count"] = 888,
		["main_text"] = "【打卡】先给各位工友递一杯KUKU茶新品金乌奶盖，最近刚拿到博物学会某岗位机会，想问一下内部大佬们工作体验如何？",
		["moments_type"] = 2,
		["npc_reply_pack_list"] = {
			10004,
			10019,
			10020,
			10021,
		},
		["release_id"] = 17,
		["reply_pack_id"] = 10001,
		["start_offset"] = 0,
		["virtual_time"] = "森罗历1121年",
	},
	[200003] = {
		["ID"] = 200003,
		["comment_count"] = 200,
		["end_offset"] = 3600000,
		["event"] = "version_ob",
		["fav_count"] = 4,
