{
	{
		["is_notify_max"] = 0,
		["max_lv"] = 12,
		["name"] = "玩家",
		["orgid"] = 1,
		["repute_def"] = 30000,
		["script"] = "",
		["show"] = false,
		["unlock"] = false,
	},
	{
		["is_notify_max"] = 0,
		["max_lv"] = 12,
		["name"] = "中立阵营",
		["orgid"] = 2,
		["repute_def"] = 20000,
		["script"] = "",
		["show"] = false,
		["unlock"] = false,
	},
	{
		["is_notify_max"] = 0,
		["max_lv"] = 12,
		["name"] = "友方阵营",
		["orgid"] = 3,
		["repute_def"] = 30000,
		["script"] = "",
		["show"] = false,
		["unlock"] = false,
	},
	{
		["is_notify_max"] = 0,
		["max_lv"] = 12,
		["name"] = "敌方阵营",
		["orgid"] = 4,
		["repute_def"] = 10000,
		["script"] = "",
		["show"] = false,
		["unlock"] = false,
	},
	{
		["is_notify_max"] = 0,
		["max_lv"] = 12,
		["name"] = "世界公敌",
		["orgid"] = 5,
		["repute_def"] = 10000,
		["script"] = "",
		["show"] = false,
		["unlock"] = false,
	},
	{
		["is_notify_max"] = 0,
		["max_lv"] = 12,
		["name"] = "敌方混战",
		["orgid"] = 6,
		["repute_def"] = 10000,
		["script"] = "",
		["show"] = false,
		["unlock"] = false,
	},
	{
		["is_notify_max"] = 0,
		["max_lv"] = 12,
		["name"] = "中立混战",
		["orgid"] = 7,
		["repute_def"] = 10000,
		["script"] = "",
		["show"] = false,
		["unlock"] = false,
	},
}
