{
	{
		{
			["ID"] = 1,
			["attr_desc"] = "在探险队伍中时，刻印体质提升20点",
			["item_cost"] = {
				{
					["count"] = 1,
					["tid"] = 16777366,
				},
			},
			["level"] = 1,
			["related_quest"] = {
			},
			["rpg_item_related"] = 15,
			["start_offset_open"] = 0,
			["upgrade_desc"] = "所有同调者每20秒以3级位移强度击退一定范围内的敌人，同时造成少量伤害；总有一些勒普，对水的喜爱超乎常兔。",
		},
		{
			["ID"] = 1,
			["attr_desc"] = "在探险队伍中时，刻印体质提升40点",
			["item_cost"] = {
				{
					["count"] = 1,
					["tid"] = 16777366,
				},
			},
			["level"] = 2,
			["related_quest"] = {
			},
			["rpg_item_related"] = 16,
			["start_offset_open"] = 0,
			["upgrade_desc"] = "",
		},
		{
			["ID"] = 1,
			["attr_desc"] = "在探险队伍中时，刻印体质提升60点",
			["item_cost"] = {
				{
					["count"] = 2,
					["tid"] = 16777366,
				},
			},
			["level"] = 3,
			["related_quest"] = {
				4628,
			},
			["rpg_item_related"] = 17,
			["start_offset_open"] = 0,
			["upgrade_desc"] = "",
		},
		{
			["ID"] = 1,
			["attr_desc"] = "在探险队伍中时，刻印体质提升80点",
			["item_cost"] = {
				{
					["count"] = 2,
					["tid"] = 16777366,
				},
			},
			["level"] = 4,
			["related_quest"] = {
			},
			["rpg_item_related"] = 18,
			["start_offset_open"] = 0,
			["upgrade_desc"] = "",
		},
		{
			["ID"] = 1,
			["attr_desc"] = "在探险队伍中时，刻印体质提升100点",
			["item_cost"] = {
				{
					["count"] = 4,
					["tid"] = 16777366,
				},
			},
			["level"] = 5,
			["related_quest"] = {
				4629,
			},
			["rpg_item_related"] = 19,
			["start_offset_open"] = 0,
			["upgrade_desc"] = "",
		},
		{
			["ID"] = 1,
			["attr_desc"] = "在探险队伍中时，刻印体质提升120点",
			["item_cost"] = {
				{
					["count"] = 1,
					["tid"] = 16777367,
				},
			},
			["level"] = 6,
			["related_quest"] = {
			},
			["rpg_item_related"] = 20,
			["start_offset_open"] = 21,
			["upgrade_desc"] = "击退会生效两次。",
		},
		{
			["ID"] = 1,
			["attr_desc"] = "在探险队伍中时，刻印体质提升160点",
			["item_cost"] = {
				{
					["count"] = 2,
					["tid"] = 16777367,
				},
			},
			["level"] = 7,
			["related_quest"] = {
			},
			["rpg_item_related"] = 21,
			["start_offset_open"] = 21,
			["upgrade_desc"] = "",
		},
		{
			["ID"] = 1,
			["attr_desc"] = "在探险队伍中时，刻印体质提升200点",
			["item_cost"] = {
				{
					["count"] = 3,
					["tid"] = 16777367,
				},
			},
			["level"] = 8,
			["related_quest"] = {
				4630,
			},
			["rpg_item_related"] = 22,
			["start_offset_open"] = 21,
			["upgrade_desc"] = "",
		},
	},
	{
		{
			["ID"] = 2,
			["attr_desc"] = "在探险队伍中时，刻印体质提升20点",
			["item_cost"] = {
				{
					["count"] = 1,
					["tid"] = 16777366,
				},
			},
			["level"] = 1,
			["related_quest"] = {
			},
			["rpg_item_related"] = 23,
			["start_offset_open"] = 0,
			["upgrade_desc"] = "【战术家】与【护佑者】每20秒召唤羊群冲向敌人，羊群会以3级位移强度击退面前敌人同时造成少量伤害。",
		},
		{
			["ID"] = 2,
			["attr_desc"] = "在探险队伍中时，刻印体质提升40点",
			["item_cost"] = {
				{
					["count"] = 1,
					["tid"] = 16777366,
				},
			},
			["level"] = 2,
			["related_quest"] = {
			},
			["rpg_item_related"] = 24,
			["start_offset_open"] = 0,
			["upgrade_desc"] = "",
		},
		{
			["ID"] = 2,
			["attr_desc"] = "在探险队伍中时，刻印体质提升60点",
			["item_cost"] = {
				{
					["count"] = 2,
					["tid"] = 16777366,
				},
			},
			["level"] = 3,
			["related_quest"] = {
				4636,
			},
			["rpg_item_related"] = 25,
			["start_offset_open"] = 0,
			["upgrade_desc"] = "",
		},
		{
			["ID"] = 2,
			["attr_desc"] = "在探险队伍中时，刻印体质提升80点",
			["item_cost"] = {
				{
					["count"] = 2,
