{
	["money_ratio"] = {
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
		0.1,
	},
	["player_lv_res"] = {
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
		0,
	},
	["total"] = {
		{
			200,
			200,
			200,
		},
		{
			400,
			400,
			400,
		},
		{
			600,
			600,
			600,
		},
		{
			800,
			800,
			800,
		},
		{
			1000,
			1000,
			1000,
		},
		{
			1200,
			1200,
			1200,
		},
		{
			1400,
			1400,
			1400,
		},
		{
			1600,
			1600,
			1600,
		},
		{
			1800,
			1800,
			1800,
		},
		{
			2400,
			2520,
			2700,
		},
		{
			3020,
			3264,
			3630,
		},
		{
			3660,
			4032,
			4590,
		},
		{
			4320,
			4824,
			5580,
		},
		{
			5000,
			5640,
			6600,
		},
		{
			5700,
			6480,
			7650,
		},
		{
			6420,
			7344,
			8730,
		},
		{
			7160,
			8232,
			9840,
		},
		{
			7920,
			9144,
			10980,
		},
		{
			8700,
			10080,
			12150,
		},
		{
			9900,
			11520,
			13950,
		},
		{
			11120,
			12984,
			15780,
		},
		{
			12360,
			14472,
			17640,
		},
		{
			13620,
			15984,
			19530,
		},
		{
			14900,
			17520,
			21450,
		},
		{
			16200,
			19080,
			23400,
		},
		{
			17520,
			20664,
			25380,
		},
		{
			18860,
			22272,
			27390,
		},
		{
			20220,
			23904,
			29430,
		},
		{
			21600,
			25560,
			31500,
		},
		{
			23400,
			27720,
			34200,
		},
		{
			25220,
			29904,
			36930,
		},
		{
			27060,
			32112,
			39690,
		},
		{
			28920,
			34344,
			42480,
		},
		{
			30800,
			36600,
			45300,
		},
		{
			32700,
			38880,
			48150,
		},
		{
			34620,
			41184,
			51030,
		},
		{
			36560,
			43512,
			53940,
		},
		{
			38520,
			45864,
			56880,
		},
		{
			40500,
			48240,
			59850,
		},
		{
			43500,
			51840,
			64350,
		},
		{
			46550,
			55500,
			68925,
		},
		{
			49650,
			59220,
			73575,
		},
		{
			52800,
			63000,
			78300,
		},
		{
			56000,
			66840,
			83100,
		},
		{
			59250,
			70740,
			87975,
		},
		{
			62550,
			74700,
			92925,
		},
		{
			65900,
			78720,
			97950,
		},
		{
			69300,
			82800,
			103050,
		},
		{
			72750,
			86940,
			108225,
		},
		{
			76950,
			91980,
			114525,
		},
		{
			81200,
			97080,
			120900,
		},
		{
			85500,
			102240,
			127350,
		},
		{
			89850,
			107460,
			133875,
		},
		{
			94250,
			112740,
			140475,
		},
		{
			98700,
			118080,
			147150,
		},
		{
			103200,
			123480,
			153900,
		},
		{
			107750,
			128940,
			160725,
		},
		{
			112350,
			134460,
			167625,
		},
		{
			117000,
			140040,
			174600,
		},
		{
			124200,
			148680,
			185400,
		},
		{
			131600,
			157560,
			196500,
		},
		{
			139200,
			166680,
			207900,
		},
		{
			147000,
			176040,
			219600,
		},
		{
			155000,
			185640,
			231600,
		},
		{
			163200,
			195480,
			243900,
		},
		{
			171600,
			205560,
			256500,
		},
		{
			180200,
			215880,
			269400,
		},
		{
			189000,
			226440,
			282600,
		},
		{
			198000,
			237240,
			296100,
		},
		{
			210000,
			251640,
			314100,
		},
		{
			223000,
			267240,
			333600,
		},
		{
			237000,
			284040,
			354600,
		},
		{
			252000,
			302040,
			377100,
		},
		{
			268000,
			321240,
			401100,
		},
		{
			285000,
			341640,
			426600,
		},
		{
			303000,
			363240,
			453600,
		},
		{
			322000,
			386040,
			482100,
		},
		{
			342000,
			410040,
			512100,
		},
		{
			363000,
			435240,
			543600,
		},
		{
			393000,
			471240,
			588600,
		},
		{
			425000,
			509640,
			636600,
		},
		{
			459000,
			550440,
			687600,
		},
		{
			495000,
			593640,
			741600,
		},
		{
			533000,
			639240,
			798600,
		},
		{
			573000,
			687240,
			858600,
		},
		{
			615000,
			737640,
			921600,
		},
		{
			659000,
			790440,
			987600,
		},
		{
			705000,
			845640,
			1056600,
		},
		{
			753000,
			903240,
			1128600,
		},
		{
			803000,
			963240,
			1203600,
		},
		{
			853000,
			1023240,
			1278600,
		},
		{
			903000,
			1083240,
			1353600,
		},
		{
			953000,
			1143240,
			1428600,
		},
		{
			1003000,
			1203240,
			1503600,
		},
		{
			1053000,
			1263240,
			1578600,
		},
		{
			1103000,
			1323240,
			1653600,
		},
		{
			1153000,
			1383240,
			1728600,
		},
		{
			1203000,
			1443240,
			1803600,
		},
		{
			1253000,
			1503240,
			1878600,
		},
		{
			1303000,
			1563240,
			1953600,
		},
	},
	["ups"] = {
		{
			200,
			200,
			200,
		},
		{
			200,
			200,
			200,
		},
		{
			200,
			200,
			200,
		},
		{
			200,
			200,
			200,
		},
		{
			200,
			200,
			200,
		},
		{
			200,
			200,
			200,
		},
		{
			200,
			200,
			200,
		},
		{
			200,
			200,
			200,
		},
		{
			200,
			200,
			200,
		},
		{
			600,
			720,
			900,
		},
		{
			620,
			744,
			930,
		},
		{
			640,
			768,
			960,
		},
		{
			660,
			792,
			990,
		},
		{
			680,
			816,
			1020,
		},
		{
			700,
			840,
			1050,
		},
		{
			720,
			864,
			1080,
		},
		{
			740,
			888,
			1110,
		},
		{
			760,
			912,
			1140,
		},
		{
			780,
			936,
			1170,
		},
		{
			1200,
			1440,
			1800,
		},
		{
			1220,
			1464,
			1830,
		},
		{
			1240,
			1488,
			1860,
		},
		{
			1260,
			1512,
			1890,
		},
		{
			1280,
			1536,
			1920,
		},
		{
			1300,
			1560,
			1950,
		},
		{
			1320,
			1584,
			1980,
		},
		{
			1340,
			1608,
			2010,
		},
		{
			1360,
			1632,
			2040,
		},
		{
			1380,
			1656,
			2070,
		},
		{
			1800,
			2160,
			2700,
		},
		{
			1820,
			2184,
			2730,
		},
		{
			1840,
			2208,
			2760,
		},
		{
			1860,
			2232,
			2790,
		},
		{
			1880,
			2256,
			2820,
		},
		{
			1900,
			2280,
			2850,
		},
		{
			1920,
			2304,
			2880,
		},
		{
			1940,
			2328,
			2910,
		},
		{
			1960,
			2352,
			2940,
		},
		{
			1980,
			2376,
			2970,
		},
		{
			3000,
			3600,
			4500,
		},
		{
			3050,
			3660,
			4575,
		},
		{
			3100,
			3720,
			4650,
		},
		{
			3150,
			3780,
			4725,
		},
		{
			3200,
			3840,
			4800,
		},
		{
			3250,
			3900,
			4875,
		},
