{
	["total"] = {
		1200,
		2600,
		4200,
		6000,
		9200,
		12400,
		15600,
		19200,
		24000,
		32400,
		43200,
		56400,
		72000,
		90000,
		110400,
		133200,
		158400,
		186000,
		216000,
		247000,
		279000,
		312000,
		346000,
		381000,
		417000,
		454000,
		492000,
		531000,
		571000,
		611400,
		652200,
		693400,
		735000,
		777000,
		819400,
		862200,
		905400,
		949000,
		993000,
		1037400,
		1082200,
		1127400,
		1173000,
		1219000,
		1265400,
		1312200,
		1359400,
		1407000,
		1455000,
		1503400,
		1552200,
		1601400,
		1651000,
		1701000,
		1751400,
		1802200,
		1853400,
		1905000,
		1957000,
		2009400,
		2062200,
		2115400,
		2169000,
		2223000,
		2277400,
		2332200,
		2387400,
		2443000,
		2499000,
		2555200,
		2611600,
		2668200,
		2725000,
		2782000,
		2839200,
		2896600,
		2954200,
		3012000,
		3070000,
		3128200,
		3186600,
		3245200,
		3304000,
		3363000,
		3422200,
		3481600,
		3541200,
		3601000,
		3661000,
		3721200,
		3781600,
		3842200,
		3903000,
		3964000,
		4025200,
		4086600,
		4148200,
		4210000,
		4272000,
	},
	["ups"] = {
		1200,
		1400,
		1600,
		1800,
		3200,
		3200,
		3200,
		3600,
		4800,
		8400,
		10800,
		13200,
		15600,
		18000,
		20400,
		22800,
		25200,
		27600,
		30000,
		31000,
		32000,
		33000,
		34000,
		35000,
		36000,
		37000,
		38000,
		39000,
		40000,
		40400,
		40800,
		41200,
		41600,
		42000,
		42400,
		42800,
		43200,
		43600,
		44000,
		44400,
		44800,
		45200,
		45600,
		46000,
		46400,
		46800,
		47200,
		47600,
		48000,
		48400,
		48800,
		49200,
		49600,
		50000,
		50400,
		50800,
		51200,
		51600,
		52000,
		52400,
		52800,
		53200,
		53600,
		54000,
		54400,
		54800,
		55200,
		55600,
		56000,
		56200,
		56400,
		56600,
		56800,
		57000,
		57200,
		57400,
		57600,
		57800,
		58000,
		58200,
		58400,
		58600,
		58800,
		59000,
		59200,
		59400,
		59600,
		59800,
		60000,
		60200,
		60400,
		60600,
		60800,
		61000,
		61200,
		61400,
		61600,
		61800,
		62000,
	},
}
