{
	[10] = {
		{
			["chain_group"] = 10,
			["chain_index"] = 1,
			["desc"] = "一座冰雪覆盖的峰顶遗迹，似乎是雪山生物的聚居地。",
			["is_section_end"] = false,
			["is_section_start"] = true,
			["node_type"] = 2,
			["quest_id"] = 5000620,
			["section_index"] = 1,
			["title"] = "龙晴雪：档案5事件1标题-雪山中昼",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 2,
			["desc"] = "一座冰雪覆盖的峰顶遗迹，似乎是雪山生物的聚居地。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 4,
			["quest_id"] = 5000621,
			["section_index"] = 1,
			["title"] = "龙晴雪：档案5事件选择",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 3,
			["desc"] = "一座冰雪覆盖的峰顶遗迹，似乎是雪山生物的聚居地。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000622,
			["section_index"] = 1,
			["title"] = "龙晴雪：档案5事件1-分支任务2",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 4,
			["desc"] = "一座冰雪覆盖的峰顶遗迹，似乎是雪山生物的聚居地。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000623,
			["section_index"] = 1,
			["title"] = "龙晴雪：档案5事件1-分支任务3【主线】",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 5,
			["desc"] = "一座冰雪覆盖的峰顶遗迹，似乎是雪山生物的聚居地。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000624,
			["section_index"] = 1,
			["title"] = "龙晴雪：档案5事件1-分支任务1.1",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 6,
			["desc"] = "你简单搜索了遗迹内部，发现一扇纹丝不动的石门。石门前方，三个凹槽排成一列，分别是雪花凹槽、细长凹槽、椭圆凹槽。这样简单的机关当然难不住你，你十分老练地找到了开门的“钥匙”。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 4,
			["quest_id"] = 5000625,
			["section_index"] = 1,
			["title"] = "龙晴雪：档案5事件1-分支任务2.1选项",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 7,
			["desc"] = "一座冰雪覆盖的峰顶遗迹，似乎是雪山生物的聚居地。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000626,
			["section_index"] = 1,
			["title"] = "龙晴雪：档案5事件1-分支任务2.1选项1正确",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 8,
			["desc"] = "一座冰雪覆盖的峰顶遗迹，似乎是雪山生物的聚居地。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000627,
			["section_index"] = 1,
			["title"] = "龙晴雪：档案5事件1-分支任务2.1选项2",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 9,
			["desc"] = "一座冰雪覆盖的峰顶遗迹，似乎是雪山生物的聚居地。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000628,
			["section_index"] = 1,
			["title"] = "龙晴雪：档案5事件1-分支任务2.1选项3",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 10,
			["desc"] = "一座冰雪覆盖的峰顶遗迹，似乎是雪山生物的聚居地。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000629,
			["section_index"] = 1,
			["title"] = "龙晴雪：档案5事件1-分支任务2.2",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 11,
			["desc"] = "一座冰雪覆盖的峰顶遗迹，似乎是雪山生物的聚居地。",
			["is_section_end"] = true,
			["is_section_start"] = false,
			["node_type"] = 3,
			["quest_id"] = 5000630,
			["section_index"] = 1,
			["title"] = "龙晴雪：档案5事件1-分支任务3.1战斗【主线】",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 12,
			["desc"] = "一座冰雪覆盖的峰顶遗迹，似乎是雪山生物的聚居地。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000631,
			["section_index"] = 1,
			["title"] = "龙晴雪：档案5事件1-分支任务3.2【主线】",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 13,
			["desc"] = "一座冰雪覆盖的峰顶遗迹，似乎是雪山生物的聚居地。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000632,
			["section_index"] = 1,
			["title"] = "龙晴雪：档案5事件1-分支任务无背景AVG【主线】",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 14,
			["desc"] = "一座守卫森严的古老遗迹，有一支考古队伍正埋头其中。",
			["is_section_end"] = false,
			["is_section_start"] = true,
			["node_type"] = 2,
			["quest_id"] = 5000633,
			["section_index"] = 2,
			["title"] = "龙晴雪：档案5事件2标题-森林右昼",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 15,
			["desc"] = "一座守卫森严的古老遗迹，有一支考古队伍正埋头其中。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000634,
			["section_index"] = 2,
			["title"] = "龙晴雪：档案5事件2-分支任务1",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 16,
			["desc"] = "一座守卫森严的古老遗迹，有一支考古队伍正埋头其中。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000635,
			["section_index"] = 2,
			["title"] = "龙晴雪：档案5事件2-分支任务2",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 17,
			["desc"] = "一座守卫森严的古老遗迹，有一支考古队伍正埋头其中。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000636,
			["section_index"] = 2,
			["title"] = "龙晴雪：档案5事件2-分支任务3【主线】",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 18,
			["desc"] = "一座守卫森严的古老遗迹，有一支考古队伍正埋头其中。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 5,
			["quest_id"] = 5000637,
			["section_index"] = 2,
			["title"] = "龙晴雪：档案5事件2-分支任务1.1",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 19,
			["desc"] = "一座守卫森严的古老遗迹，有一支考古队伍正埋头其中。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000638,
			["section_index"] = 2,
			["title"] = "龙晴雪：档案5事件2-分支任务1.2",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 20,
			["desc"] = "一座守卫森严的古老遗迹，有一支考古队伍正埋头其中。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 3,
			["quest_id"] = 5000639,
			["section_index"] = 2,
			["title"] = "龙晴雪：档案5事件2-分支任务2.1战斗",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 21,
			["desc"] = "一座守卫森严的古老遗迹，有一支考古队伍正埋头其中。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000640,
			["section_index"] = 2,
			["title"] = "龙晴雪：档案5事件2-分支任务2.2",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 22,
			["desc"] = "你深入遗迹，不愿空手而归。 以“笑、笑、笑、哭、哭、哭”的顺序绘制的狐狸涂鸦躲在遗迹暗处，向你挤眉弄眼。狐狸脚下还藏了六个不起眼的石头机关按钮。也许，这些狐狸就是解开机关的线索。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 4,
			["quest_id"] = 5000641,
			["section_index"] = 2,
			["title"] = "龙晴雪：档案5事件2-分支任务3.1选项【主线】",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 23,
			["desc"] = "一座守卫森严的古老遗迹，有一支考古队伍正埋头其中。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000642,
			["section_index"] = 2,
			["title"] = "龙晴雪：档案5事件2-分支任务3.1选项1【主线】",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 24,
			["desc"] = "一座守卫森严的古老遗迹，有一支考古队伍正埋头其中。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000643,
			["section_index"] = 2,
			["title"] = "龙晴雪：档案5事件2-分支任务3.1选项2【主线】",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 25,
			["desc"] = "一座守卫森严的古老遗迹，有一支考古队伍正埋头其中。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000644,
			["section_index"] = 2,
			["title"] = "龙晴雪：档案5事件2-分支任务3.1选项3正确【主线】",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 26,
			["desc"] = "一座守卫森严的古老遗迹，有一支考古队伍正埋头其中。",
			["is_section_end"] = true,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000645,
			["section_index"] = 2,
			["title"] = "龙晴雪：档案5事件2-分支任务3.2【主线】",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 27,
			["desc"] = "一座守卫森严的古老遗迹，有一支考古队伍正埋头其中。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000646,
			["section_index"] = 2,
			["title"] = "龙晴雪：档案5事件2-分支任务3.3【主线】无背景AVG",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 28,
			["desc"] = "一座守卫森严的古老遗迹，有一支考古队伍正埋头其中。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000647,
			["section_index"] = 2,
			["title"] = "龙晴雪：档案5事件2-分支无背景AVG【主线】",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 29,
			["desc"] = "一座早已风化的巍峨遗迹，仍可见昔日辉煌。",
			["is_section_end"] = false,
			["is_section_start"] = true,
			["node_type"] = 2,
			["quest_id"] = 5000648,
			["section_index"] = 3,
			["title"] = "龙晴雪：档案5事件3标题-草原1昼",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 30,
			["desc"] = "一座早已风化的巍峨遗迹，仍可见昔日辉煌。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000649,
			["section_index"] = 3,
			["title"] = "龙晴雪：档案5事件3-分支任务1",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 31,
			["desc"] = "一座早已风化的巍峨遗迹，仍可见昔日辉煌。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000650,
			["section_index"] = 3,
			["title"] = "龙晴雪：档案5事件3-分支任务2",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 32,
			["desc"] = "一座早已风化的巍峨遗迹，仍可见昔日辉煌。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000651,
			["section_index"] = 3,
			["title"] = "龙晴雪：档案5事件3-分支任务3【主线】",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 33,
			["desc"] = "一座早已风化的巍峨遗迹，仍可见昔日辉煌。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000652,
			["section_index"] = 3,
			["title"] = "龙晴雪：档案5事件3-分支任务1.1",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 34,
			["desc"] = "一座早已风化的巍峨遗迹，仍可见昔日辉煌。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 3,
			["quest_id"] = 5000653,
			["section_index"] = 3,
			["title"] = "龙晴雪：档案5事件3-分支任务2.1战斗",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 35,
			["desc"] = "一座早已风化的巍峨遗迹，仍可见昔日辉煌。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000654,
			["section_index"] = 3,
			["title"] = "龙晴雪：档案5事件3-分支任务2.2",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 36,
			["desc"] = "一座早已风化的巍峨遗迹，仍可见昔日辉煌。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000655,
			["section_index"] = 3,
			["title"] = "龙晴雪：档案5事件3-分支任务2.3",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 37,
			["desc"] = "你深入遗迹，不愿空手而归。在一面不起眼的墙上，你发现了几盏油灯。油灯之上，有着以“虚-虚-实-实-实-实-虚-虚”顺序排列的淡淡爪痕。也许，这就是解开机关的线索。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 4,
			["quest_id"] = 5000656,
			["section_index"] = 3,
			["title"] = "龙晴雪：档案5事件3-分支任务3.1选项【主线】",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 38,
			["desc"] = "一座早已风化的巍峨遗迹，仍可见昔日辉煌。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000657,
			["section_index"] = 3,
			["title"] = "龙晴雪：档案5事件3-分支任务3.1选项1正确【主线】",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 39,
			["desc"] = "一座早已风化的巍峨遗迹，仍可见昔日辉煌。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000658,
			["section_index"] = 3,
			["title"] = "龙晴雪：档案5事件3-分支任务3.1选项2【主线】",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 40,
			["desc"] = "一座早已风化的巍峨遗迹，仍可见昔日辉煌。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000659,
			["section_index"] = 3,
			["title"] = "龙晴雪：档案5事件3-分支任务3.1选项3【主线】",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 41,
			["desc"] = "一座早已风化的巍峨遗迹，仍可见昔日辉煌。",
			["is_section_end"] = true,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000660,
			["section_index"] = 3,
			["title"] = "龙晴雪：档案5事件3-分支任务3.2【主线】",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 42,
			["desc"] = "一座早已风化的巍峨遗迹，仍可见昔日辉煌。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000661,
			["section_index"] = 3,
			["title"] = "龙晴雪：档案5事件3-分支任务无背景AVG",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 43,
			["desc"] = "一座大半冰封的古老遗迹，有一支考古队伍正埋头其中。",
			["is_section_end"] = false,
			["is_section_start"] = true,
			["node_type"] = 2,
			["quest_id"] = 5000662,
			["section_index"] = 4,
			["title"] = "龙晴雪：档案5事件4标题-结局雪山左昼",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 44,
			["desc"] = "一座大半冰封的古老遗迹，有一支考古队伍正埋头其中。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000663,
			["section_index"] = 4,
			["title"] = "龙晴雪：档案5事件4-分支任务1【主线】",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 45,
			["desc"] = "一座大半冰封的古老遗迹，有一支考古队伍正埋头其中。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000664,
			["section_index"] = 4,
			["title"] = "龙晴雪：档案5事件4-分支任务2",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 46,
			["desc"] = "一座大半冰封的古老遗迹，有一支考古队伍正埋头其中。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000665,
			["section_index"] = 4,
			["title"] = "龙晴雪：档案5事件4-分支任务3",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 47,
			["desc"] = "一座大半冰封的古老遗迹，有一支考古队伍正埋头其中。",
			["is_section_end"] = false,
			["is_section_start"] = false,
			["node_type"] = 3,
			["quest_id"] = 5000666,
			["section_index"] = 4,
			["title"] = "龙晴雪：档案5事件4-分支任务1.1结局战斗【主线】",
		},
		{
			["chain_group"] = 10,
			["chain_index"] = 48,
			["desc"] = "一座大半冰封的古老遗迹，有一支考古队伍正埋头其中。",
			["is_section_end"] = true,
			["is_section_start"] = false,
			["node_type"] = 1,
			["quest_id"] = 5000667,
			["section_index"] = 4,
