{
	{
		["crush_line"] = 0,
		["def_warning_line"] = 0,
		["diff_lv"] = 1,
		["monster_level"] = 5,
		["reward_adv_prop_rate"] = 1,
		["reward_adv_skill_point"] = 10,
		["reward_favor_leader"] = 30,
		["reward_favor_member"] = 10,
		["reward_items"] = {
			["reward_rc"] = {
				1,
				11,
			},
		},
		["reward_prop_rate"] = 1,
		["reward_skill_point"] = 30,
	},
	{
		["crush_line"] = 0,
		["def_warning_line"] = 0,
		["diff_lv"] = 2,
		["monster_level"] = 10,
		["reward_adv_prop_rate"] = 1.2,
		["reward_adv_skill_point"] = 12,
		["reward_favor_leader"] = 45,
		["reward_favor_member"] = 15,
		["reward_items"] = {
			["reward_rc"] = {
				1,
				12,
				13,
				14,
			},
		},
		["reward_prop_rate"] = 1.2,
		["reward_skill_point"] = 36,
	},
	{
		["crush_line"] = 0,
		["def_warning_line"] = 0,
		["diff_lv"] = 3,
		["monster_level"] = 15,
		["reward_adv_prop_rate"] = 1.3,
		["reward_adv_skill_point"] = 15,
		["reward_favor_leader"] = 60,
		["reward_favor_member"] = 20,
		["reward_items"] = {
			["reward_rc"] = {
				2,
				12,
				13,
				14,
			},
		},
		["reward_prop_rate"] = 1.3,
		["reward_skill_point"] = 45,
	},
	{
		["crush_line"] = 0,
		["def_warning_line"] = 0,
		["diff_lv"] = 4,
		["monster_level"] = 20,
		["reward_adv_prop_rate"] = 1.4,
		["reward_adv_skill_point"] = 20,
		["reward_favor_leader"] = 75,
		["reward_favor_member"] = 25,
		["reward_items"] = {
			["reward_rc"] = {
				3,
				15,
			},
		},
		["reward_prop_rate"] = 1.4,
		["reward_skill_point"] = 60,
	},
	{
		["crush_line"] = 0,
		["def_warning_line"] = 0,
		["diff_lv"] = 5,
		["monster_level"] = 25,
		["reward_adv_prop_rate"] = 1.5,
		["reward_adv_skill_point"] = 25,
		["reward_favor_leader"] = 90,
		["reward_favor_member"] = 30,
		["reward_items"] = {
			["reward_rc"] = {
				3,
				16,
				17,
			},
		},
		["reward_prop_rate"] = 1.5,
		["reward_skill_point"] = 75,
	},
	{
		["crush_line"] = 0,
		["def_warning_line"] = 0,
		["diff_lv"] = 6,
		["monster_level"] = 30,
		["reward_adv_prop_rate"] = 1.6,
		["reward_adv_skill_point"] = 30,
		["reward_favor_leader"] = 105,
		["reward_favor_member"] = 35,
		["reward_items"] = {
			["reward_rc"] = {
				4,
				16,
				17,
			},
		},
		["reward_prop_rate"] = 1.6,
		["reward_skill_point"] = 90,
	},
	{
		["crush_line"] = 0,
		["def_warning_line"] = 280,
		["diff_lv"] = 7,
		["monster_level"] = 35,
		["reward_adv_prop_rate"] = 1.7,
		["reward_adv_skill_point"] = 35,
		["reward_favor_leader"] = 120,
		["reward_favor_member"] = 40,
		["reward_items"] = {
			["reward_rc"] = {
				4,
				18,
				19,
			},
		},
		["reward_prop_rate"] = 1.7,
		["reward_skill_point"] = 105,
	},
	{
		["crush_line"] = 0,
		["def_warning_line"] = 320,
		["diff_lv"] = 8,
		["monster_level"] = 40,
		["reward_adv_prop_rate"] = 1.8,
		["reward_adv_skill_point"] = 40,
		["reward_favor_leader"] = 135,
		["reward_favor_member"] = 45,
		["reward_items"] = {
			["reward_rc"] = {
				5,
				18,
				19,
			},
		},
		["reward_prop_rate"] = 1.8,
		["reward_skill_point"] = 120,
	},
	{
		["crush_line"] = 14,
		["def_warning_line"] = 360,
		["diff_lv"] = 9,
		["monster_level"] = 45,
		["reward_adv_prop_rate"] = 1.9,
		["reward_adv_skill_point"] = 45,
		["reward_favor_leader"] = 150,
		["reward_favor_member"] = 50,
		["reward_items"] = {
			["reward_rc"] = {
				5,
				20,
				21,
				22,
			},
		},
		["reward_prop_rate"] = 1.9,
		["reward_skill_point"] = 135,
	},
	{
		["crush_line"] = 16,
		["def_warning_line"] = 400,
		["diff_lv"] = 10,
		["monster_level"] = 50,
		["reward_adv_prop_rate"] = 2,
		["reward_adv_skill_point"] = 50,
		["reward_favor_leader"] = 165,
		["reward_favor_member"] = 55,
		["reward_items"] = {
			["reward_rc"] = {
				6,
				20,
				21,
				22,
			},
		},
		["reward_prop_rate"] = 2,
		["reward_skill_point"] = 150,
	},
	{
		["crush_line"] = 18,
		["def_warning_line"] = 450,
		["diff_lv"] = 11,
		["monster_level"] = 55,
		["reward_adv_prop_rate"] = 2.1,
		["reward_adv_skill_point"] = 55,
		["reward_favor_leader"] = 170,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				7,
				20,
				21,
				22,
			},
		},
		["reward_prop_rate"] = 2.1,
		["reward_skill_point"] = 165,
	},
	{
		["crush_line"] = 20,
		["def_warning_line"] = 500,
		["diff_lv"] = 12,
		["monster_level"] = 60,
		["reward_adv_prop_rate"] = 2.2,
		["reward_adv_skill_point"] = 60,
		["reward_favor_leader"] = 175,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				8,
				23,
				24,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 22,
		["def_warning_line"] = 550,
		["diff_lv"] = 13,
		["monster_level"] = 65,
		["reward_adv_prop_rate"] = 2.3,
		["reward_adv_skill_point"] = 63,
		["reward_favor_leader"] = 180,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				9,
				23,
				24,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 24,
		["def_warning_line"] = 600,
		["diff_lv"] = 14,
		["monster_level"] = 70,
		["reward_adv_prop_rate"] = 2.4,
		["reward_adv_skill_point"] = 66,
		["reward_favor_leader"] = 185,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				9,
				23,
				24,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 25,
		["def_warning_line"] = 650,
		["diff_lv"] = 15,
		["monster_level"] = 75,
		["reward_adv_prop_rate"] = 2.5,
		["reward_adv_skill_point"] = 69,
		["reward_favor_leader"] = 190,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 26,
		["def_warning_line"] = 700,
		["diff_lv"] = 16,
		["monster_level"] = 80,
		["reward_adv_prop_rate"] = 2.6,
		["reward_adv_skill_point"] = 72,
		["reward_favor_leader"] = 195,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 27,
		["def_warning_line"] = 700,
		["diff_lv"] = 17,
		["monster_level"] = 85,
		["reward_adv_prop_rate"] = 2.7,
		["reward_adv_skill_point"] = 75,
		["reward_favor_leader"] = 200,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 30,
		["def_warning_line"] = 750,
		["diff_lv"] = 18,
		["monster_level"] = 90,
		["reward_adv_prop_rate"] = 2.8,
		["reward_adv_skill_point"] = 78,
		["reward_favor_leader"] = 205,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 32,
		["def_warning_line"] = 800,
		["diff_lv"] = 19,
		["monster_level"] = 95,
		["reward_adv_prop_rate"] = 2.9,
		["reward_adv_skill_point"] = 81,
		["reward_favor_leader"] = 210,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 35,
		["def_warning_line"] = 850,
		["diff_lv"] = 20,
		["monster_level"] = 100,
		["reward_adv_prop_rate"] = 3,
		["reward_adv_skill_point"] = 84,
		["reward_favor_leader"] = 215,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 40,
		["def_warning_line"] = 900,
		["diff_lv"] = 21,
		["monster_level"] = 105,
		["reward_adv_prop_rate"] = 3,
		["reward_adv_skill_point"] = 84,
		["reward_favor_leader"] = 220,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 45,
		["def_warning_line"] = 950,
		["diff_lv"] = 22,
		["monster_level"] = 110,
		["reward_adv_prop_rate"] = 3,
		["reward_adv_skill_point"] = 84,
		["reward_favor_leader"] = 225,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 45,
		["def_warning_line"] = 1000,
		["diff_lv"] = 23,
		["monster_level"] = 112,
		["reward_adv_prop_rate"] = 3,
		["reward_adv_skill_point"] = 84,
		["reward_favor_leader"] = 230,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 45,
		["def_warning_line"] = 1050,
		["diff_lv"] = 24,
		["monster_level"] = 114,
		["reward_adv_prop_rate"] = 3,
		["reward_adv_skill_point"] = 84,
		["reward_favor_leader"] = 235,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 45,
		["def_warning_line"] = 1100,
		["diff_lv"] = 25,
		["monster_level"] = 116,
		["reward_adv_prop_rate"] = 3,
		["reward_adv_skill_point"] = 84,
		["reward_favor_leader"] = 240,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 45,
		["def_warning_line"] = 1100,
		["diff_lv"] = 26,
		["monster_level"] = 118,
		["reward_adv_prop_rate"] = 3,
		["reward_adv_skill_point"] = 84,
		["reward_favor_leader"] = 240,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 45,
		["def_warning_line"] = 1100,
		["diff_lv"] = 27,
		["monster_level"] = 120,
		["reward_adv_prop_rate"] = 3,
		["reward_adv_skill_point"] = 84,
		["reward_favor_leader"] = 240,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 45,
		["def_warning_line"] = 1100,
		["diff_lv"] = 28,
		["monster_level"] = 122,
		["reward_adv_prop_rate"] = 3,
		["reward_adv_skill_point"] = 84,
		["reward_favor_leader"] = 240,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 45,
		["def_warning_line"] = 1100,
		["diff_lv"] = 29,
		["monster_level"] = 124,
		["reward_adv_prop_rate"] = 3,
		["reward_adv_skill_point"] = 84,
		["reward_favor_leader"] = 240,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 45,
		["def_warning_line"] = 1100,
		["diff_lv"] = 30,
		["monster_level"] = 126,
		["reward_adv_prop_rate"] = 3,
		["reward_adv_skill_point"] = 84,
		["reward_favor_leader"] = 240,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 45,
		["def_warning_line"] = 1100,
		["diff_lv"] = 31,
		["monster_level"] = 128,
		["reward_adv_prop_rate"] = 3,
		["reward_adv_skill_point"] = 84,
		["reward_favor_leader"] = 240,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 45,
		["def_warning_line"] = 1100,
		["diff_lv"] = 32,
		["monster_level"] = 130,
		["reward_adv_prop_rate"] = 3,
		["reward_adv_skill_point"] = 84,
		["reward_favor_leader"] = 240,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 45,
		["def_warning_line"] = 1100,
		["diff_lv"] = 33,
		["monster_level"] = 132,
		["reward_adv_prop_rate"] = 3,
		["reward_adv_skill_point"] = 84,
		["reward_favor_leader"] = 240,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 45,
		["def_warning_line"] = 1100,
		["diff_lv"] = 34,
		["monster_level"] = 134,
		["reward_adv_prop_rate"] = 3,
		["reward_adv_skill_point"] = 84,
		["reward_favor_leader"] = 240,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 45,
		["def_warning_line"] = 1100,
		["diff_lv"] = 35,
		["monster_level"] = 136,
		["reward_adv_prop_rate"] = 3,
		["reward_adv_skill_point"] = 84,
		["reward_favor_leader"] = 240,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 45,
		["def_warning_line"] = 1100,
		["diff_lv"] = 36,
		["monster_level"] = 138,
		["reward_adv_prop_rate"] = 3,
		["reward_adv_skill_point"] = 84,
		["reward_favor_leader"] = 240,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 45,
		["def_warning_line"] = 1100,
		["diff_lv"] = 37,
		["monster_level"] = 140,
		["reward_adv_prop_rate"] = 3,
		["reward_adv_skill_point"] = 84,
		["reward_favor_leader"] = 240,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 45,
		["def_warning_line"] = 1100,
		["diff_lv"] = 38,
		["monster_level"] = 142,
		["reward_adv_prop_rate"] = 3,
		["reward_adv_skill_point"] = 84,
		["reward_favor_leader"] = 240,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 45,
		["def_warning_line"] = 1100,
		["diff_lv"] = 39,
		["monster_level"] = 144,
		["reward_adv_prop_rate"] = 3,
		["reward_adv_skill_point"] = 84,
		["reward_favor_leader"] = 240,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
	{
		["crush_line"] = 45,
		["def_warning_line"] = 1100,
		["diff_lv"] = 40,
		["monster_level"] = 146,
		["reward_adv_prop_rate"] = 3,
		["reward_adv_skill_point"] = 84,
		["reward_favor_leader"] = 240,
		["reward_favor_member"] = 60,
		["reward_items"] = {
			["reward_rc"] = {
				10,
				25,
				26,
				27,
				28,
			},
		},
		["reward_prop_rate"] = 2.2,
		["reward_skill_point"] = 180,
	},
}
