{
	[100] = {
		[11] = {
			["children"] = {
				[36] = true,
			},
			["coefs"] = {
				"0",
				"0",
			},
			["combine_type"] = "",
			["id"] = 11,
			["is_boss"] = false,
			["node_hide_when_locked"] = false,
			["parent"] = {
				[233] = true,
			},
			["sanity_restriction"] = 0,
			["type"] = 6,
			["x_grid"] = -3,
			["y_grid"] = 0,
		},
		[12] = {
			["children"] = {
				[9] = true,
			},
			["coefs"] = {
				"5995",
				"0",
			},
			["combine_type"] = "1",
			["id"] = 12,
			["is_boss"] = false,
			["node_hide_when_locked"] = false,
			["parent"] = {
				[7] = true,
			},
			["sanity_restriction"] = 0,
			["type"] = 8,
			["x_grid"] = -7,
			["y_grid"] = 0,
		},
		[155] = {
			["children"] = {
				[456] = true,
				[473] = true,
			},
			["coefs"] = {
				"boss_newbee_end",
				"1",
			},
			["combine_type"] = "1",
			["id"] = 155,
			["is_boss"] = false,
			["node_hide_when_locked"] = false,
			["parent"] = {
				[58] = true,
			},
			["sanity_restriction"] = 0,
			["type"] = 2,
			["x_grid"] = 5,
			["y_grid"] = 0,
		},
		[1] = {
			["children"] = {
				[7] = true,
			},
			["coefs"] = {
				"0",
				"0",
			},
			["combine_type"] = "",
			["id"] = 1,
			["is_boss"] = false,
			["node_hide_when_locked"] = false,
			["parent"] = {
			},
			["sanity_restriction"] = 0,
			["type"] = 0,
			["x_grid"] = -9,
			["y_grid"] = 0,
		},
		[215] = {
			["children"] = {
				[23] = true,
			},
			["coefs"] = {
				"0",
				"0",
			},
			["combine_type"] = "",
			["id"] = 215,
			["is_boss"] = false,
			["node_hide_when_locked"] = false,
			["parent"] = {
				[36] = true,
			},
			["sanity_restriction"] = 0,
			["type"] = 5,
			["x_grid"] = -1,
			["y_grid"] = 0,
		},
		[233] = {
			["children"] = {
				[11] = true,
			},
			["coefs"] = {
				"5995",
				"0",
			},
			["combine_type"] = "1",
			["id"] = 233,
			["is_boss"] = false,
			["node_hide_when_locked"] = false,
			["parent"] = {
				[2] = true,
			},
			["sanity_restriction"] = 0,
			["type"] = 8,
			["x_grid"] = -4,
			["y_grid"] = 0,
		},
		[23] = {
			["children"] = {
				[476] = true,
			},
			["coefs"] = {
				"6002",
				"main",
			},
			["combine_type"] = "1",
			["id"] = 23,
			["is_boss"] = false,
			["node_hide_when_locked"] = false,
			["parent"] = {
				[215] = true,
			},
			["sanity_restriction"] = 0,
			["type"] = 8,
			["x_grid"] = 0,
			["y_grid"] = 0,
		},
		[27] = {
			["children"] = {
				[58] = true,
			},
			["coefs"] = {
				"0",
				"0",
			},
			["combine_type"] = "",
			["id"] = 27,
			["is_boss"] = false,
			["node_hide_when_locked"] = false,
			["parent"] = {
				[406] = true,
			},
			["sanity_restriction"] = 0,
			["type"] = 9,
			["x_grid"] = 3,
			["y_grid"] = 0,
		},
		[2] = {
			["children"] = {
				[233] = true,
			},
			["coefs"] = {
				"6001",
				"main",
			},
			["combine_type"] = "1",
			["id"] = 2,
			["is_boss"] = false,
			["node_hide_when_locked"] = false,
			["parent"] = {
				[9] = true,
			},
			["sanity_restriction"] = 0,
			["type"] = 8,
			["x_grid"] = -5,
			["y_grid"] = 0,
		},
		[318] = {
			["children"] = {
				[3] = true,
			},
			["coefs"] = {
				"0",
				"0",
			},
			["combine_type"] = "",
			["id"] = 318,
			["is_boss"] = false,
			["node_hide_when_locked"] = false,
			["parent"] = {
				[6] = true,
			},
			["sanity_restriction"] = 0,
			["type"] = 5,
			["x_grid"] = 10,
			["y_grid"] = 0,
		},
		[36] = {
			["children"] = {
				[215] = true,
			},
			["coefs"] = {
				"0",
				"0",
			},
			["combine_type"] = "",
			["id"] = 36,
			["is_boss"] = false,
			["node_hide_when_locked"] = false,
			["parent"] = {
				[11] = true,
			},
			["sanity_restriction"] = 0,
			["type"] = 9,
			["x_grid"] = -2,
			["y_grid"] = 0,
		},
		[3] = {
			["children"] = {
				[49] = true,
			},
			["coefs"] = {
				"0",
				"0",
			},
			["combine_type"] = "",
			["id"] = 3,
			["is_boss"] = false,
			["node_hide_when_locked"] = false,
			["parent"] = {
				[318] = true,
			},
			["sanity_restriction"] = 0,
			["type"] = 6,
			["x_grid"] = 11,
			["y_grid"] = 0,
		},
		[406] = {
			["children"] = {
				[27] = true,
			},
			["coefs"] = {
				"50",
				"0",
			},
			["combine_type"] = "",
			["id"] = 406,
			["is_boss"] = false,
			["node_hide_when_locked"] = false,
			["parent"] = {
				[476] = true,
			},
			["sanity_restriction"] = 0,
			["type"] = 3,
			["x_grid"] = 2,
			["y_grid"] = 0,
		},
		[456] = {
			["children"] = {
				[6] = true,
			},
			["coefs"] = {
