{
	{
		["diff_lv"] = 1,
		["monster_lv_boss"] = 30,
		["monster_lv_elite"] = 20,
		["monster_lv_normal"] = 15,
	},
	{
		["diff_lv"] = 2,
		["monster_lv_boss"] = 55,
		["monster_lv_elite"] = 35,
		["monster_lv_normal"] = 30,
	},
	{
		["diff_lv"] = 3,
		["monster_lv_boss"] = 60,
		["monster_lv_elite"] = 45,
		["monster_lv_normal"] = 40,
	},
	{
		["diff_lv"] = 4,
		["monster_lv_boss"] = 70,
		["monster_lv_elite"] = 60,
		["monster_lv_normal"] = 50,
	},
	{
		["diff_lv"] = 5,
		["monster_lv_boss"] = 30,
		["monster_lv_elite"] = 20,
		["monster_lv_normal"] = 15,
	},
	{
		["diff_lv"] = 6,
		["monster_lv_boss"] = 55,
		["monster_lv_elite"] = 30,
		["monster_lv_normal"] = 25,
	},
	{
		["diff_lv"] = 7,
		["monster_lv_boss"] = 75,
		["monster_lv_elite"] = 40,
		["monster_lv_normal"] = 35,
	},
	{
		["diff_lv"] = 8,
		["monster_lv_boss"] = 60,
		["monster_lv_elite"] = 50,
		["monster_lv_normal"] = 45,
	},
}
