{
	{
		["affix_usecount"] = -1,
		["chapter_idx"] = 186,
		["comment"] = "新手地图1",
		["fail_punishment"] = 1,
		["icon"] = "node_icon_combat_3",
		["id"] = 1,
		["level_idx"] = 1,
		["level_key"] = 47617,
		["map_scene_style"] = "city",
		["need_remove_duplicates"] = 0,
		["pool_id"] = "startmap_1",
	},
	{
		["affix_usecount"] = -1,
		["chapter_idx"] = 186,
		["comment"] = "新手地图2",
		["fail_punishment"] = 1,
		["icon"] = "node_icon_combat_3",
		["id"] = 2,
		["level_idx"] = 2,
		["level_key"] = 47618,
		["map_scene_style"] = "city",
		["need_remove_duplicates"] = 0,
		["pool_id"] = "startmap_2",
	},
	{
		["affix_usecount"] = -1,
		["chapter_idx"] = 186,
		["comment"] = "新手地图3",
		["fail_punishment"] = 1,
		["icon"] = "node_icon_combat_3",
		["id"] = 3,
		["level_idx"] = 3,
		["level_key"] = 47619,
		["map_scene_style"] = "city",
		["need_remove_duplicates"] = 0,
		["pool_id"] = "startmap_3",
	},
	{
		["affix_usecount"] = -1,
		["chapter_idx"] = 186,
		["comment"] = "新手地图4",
		["fail_punishment"] = 2,
		["icon"] = "node_icon_combat_3",
		["id"] = 4,
		["level_idx"] = 4,
		["level_key"] = 47620,
		["map_scene_style"] = "city",
		["need_remove_duplicates"] = 0,
		["pool_id"] = "startmap_1",
	},
	{
		["affix_usecount"] = -1,
		["chapter_idx"] = 186,
		["comment"] = "新手地图5",
		["fail_punishment"] = 2,
		["icon"] = "node_icon_combat_3",
		["id"] = 5,
		["level_idx"] = 5,
		["level_key"] = 47621,
		["map_scene_style"] = "city",
		["need_remove_duplicates"] = 0,
		["pool_id"] = "startmap_2",
	},
	{
		["affix_usecount"] = -1,
		["chapter_idx"] = 186,
		["comment"] = "新手地图6",
		["fail_punishment"] = 2,
		["icon"] = "node_icon_combat_3",
		["id"] = 6,
		["level_idx"] = 6,
		["level_key"] = 47622,
		["map_scene_style"] = "city",
		["need_remove_duplicates"] = 0,
		["pool_id"] = "startmap_3",
	},
	{
		["affix_usecount"] = -1,
		["chapter_idx"] = 186,
		["comment"] = "新手地图7",
		["fail_punishment"] = 3,
		["icon"] = "node_icon_combat_3",
		["id"] = 7,
		["level_idx"] = 7,
		["level_key"] = 47623,
		["map_scene_style"] = "city",
		["need_remove_duplicates"] = 0,
		["pool_id"] = "startmap_1",
	},
	{
		["affix_usecount"] = -1,
		["chapter_idx"] = 186,
		["comment"] = "新手地图8",
		["fail_punishment"] = 3,
		["icon"] = "node_icon_combat_3",
		["id"] = 8,
		["level_idx"] = 8,
		["level_key"] = 47624,
		["map_scene_style"] = "city",
		["need_remove_duplicates"] = 0,
		["pool_id"] = "startmap_2",
	},
	{
		["affix_usecount"] = -1,
		["chapter_idx"] = 186,
		["comment"] = "新手地图9",
		["fail_punishment"] = 3,
		["icon"] = "node_icon_combat_3",
		["id"] = 9,
		["level_idx"] = 9,
		["level_key"] = 47625,
		["map_scene_style"] = "city",
		["need_remove_duplicates"] = 0,
		["pool_id"] = "startmap_3",
	},
	{
		["affix_usecount"] = -1,
		["chapter_idx"] = 186,
		["comment"] = "城市地图战斗1",
		["fail_punishment"] = 1,
		["icon"] = "node_icon_combat_3",
		["id"] = 10,
		["level_idx"] = 10,
		["level_key"] = 47626,
		["map_scene_style"] = "city",
		["need_remove_duplicates"] = 0,
		["pool_id"] = "city_1_1",
	},
	{
		["affix_usecount"] = -1,
		["chapter_idx"] = 186,
		["comment"] = "城市地图战斗1",
		["fail_punishment"] = 1,
		["icon"] = "node_icon_combat_3",
		["id"] = 11,
		["level_idx"] = 11,
		["level_key"] = 47627,
		["map_scene_style"] = "city",
		["need_remove_duplicates"] = 0,
		["pool_id"] = "city_1_1",
	},
	{
		["affix_usecount"] = -1,
		["chapter_idx"] = 186,
		["comment"] = "城市地图战斗1",
		["fail_punishment"] = 1,
		["icon"] = "node_icon_combat_3",
		["id"] = 12,
		["level_idx"] = 12,
		["level_key"] = 47628,
		["map_scene_style"] = "city",
		["need_remove_duplicates"] = 0,
		["pool_id"] = "city_1_1",
	},
	{
		["affix_usecount"] = -1,
		["chapter_idx"] = 186,
		["comment"] = "城市地图战斗1",
		["fail_punishment"] = 1,
		["icon"] = "node_icon_combat_3",
		["id"] = 13,
		["level_idx"] = 13,
		["level_key"] = 47629,
		["map_scene_style"] = "city",
		["need_remove_duplicates"] = 0,
		["pool_id"] = "city_1_1",
	},
	{
		["affix_usecount"] = -1,
		["chapter_idx"] = 186,
		["comment"] = "城市地图战斗2",
		["fail_punishment"] = 2,
		["icon"] = "node_icon_combat_3",
		["id"] = 14,
		["level_idx"] = 14,
		["level_key"] = 47630,
		["map_scene_style"] = "city",
		["need_remove_duplicates"] = 0,
		["pool_id"] = "city_2_1",
	},
	{
		["affix_usecount"] = -1,
		["chapter_idx"] = 186,
		["comment"] = "城市地图战斗2",
		["fail_punishment"] = 2,
		["icon"] = "node_icon_combat_3",
		["id"] = 15,
		["level_idx"] = 15,
		["level_key"] = 47631,
		["map_scene_style"] = "city",
		["need_remove_duplicates"] = 0,
		["pool_id"] = "city_2_1",
	},
	{
		["affix_usecount"] = -1,
		["chapter_idx"] = 186,
		["comment"] = "城市地图战斗2",
		["fail_punishment"] = 2,
		["icon"] = "node_icon_combat_3",
		["id"] = 16,
		["level_idx"] = 16,
		["level_key"] = 47632,
		["map_scene_style"] = "city",
		["need_remove_duplicates"] = 0,
		["pool_id"] = "city_2_1",
	},
	{
		["affix_usecount"] = -1,
		["chapter_idx"] = 186,
		["comment"] = "城市地图战斗2",
		["fail_punishment"] = 2,
		["icon"] = "node_icon_combat_3",
		["id"] = 17,
		["level_idx"] = 17,
		["level_key"] = 47633,
