{
	{
		["icon"] = "rogue_score_f_btn",
		["lv"] = 1,
		["score_max"] = 199,
		["talent_point"] = 0,
	},
	{
		["icon"] = "rogue_score_d_btn",
		["lv"] = 2,
		["score_max"] = 399,
		["talent_point"] = 1,
	},
	{
		["icon"] = "rogue_score_c_btn",
		["lv"] = 3,
		["score_max"] = 599,
		["talent_point"] = 2,
	},
	{
		["icon"] = "rogue_score_b_btn",
		["lv"] = 4,
		["score_max"] = 799,
		["talent_point"] = 3,
	},
	{
		["icon"] = "rogue_score_a_btn",
		["lv"] = 5,
		["score_max"] = 999,
		["talent_point"] = 4,
	},
	{
		["icon"] = "rogue_score_s_btn",
		["lv"] = 6,
		["score_max"] = 9999,
		["talent_point"] = 5,
	},
}
