{
	[10001] = {
		["affix_enable"] = 8001,
		["attr_param"] = "",
		["attr_type"] = "",
		["attr_types"] = {
		},
		["desc"] = "同调者生命百分比低于[c ffffff]70%[/c]时，刻印攻击提升，生命百分比越低提升值越多，最多提升{1}点。",
		["effect_count"] = -1,
		["effect_desc"] = "白荆制式风衣，虽然有多处战损痕迹，但依旧难掩帅气。",
		["effect_param"] = "",
		["effect_priority"] = 1,
		["effect_scope"] = "",
		["event"] = "",
		["icon"] = "rogue_talisman_0001",
		["id"] = 10001,
		["is_in_default_pool"] = true,
		["is_show"] = true,
		["max_own"] = 3,
		["name"] = "破损风衣",
		["rarity"] = 1,
		["script"] = "",
		["short_desc"] = "随生命百分比降低，提升刻印攻击。",
		["show_idx"] = 1,
		["sub_type"] = 1,
		["type"] = 1,
		["usable"] = 0,
		["value"] = 75,
		["values"] = {
		},
	},
	[10002] = {
		["affix_enable"] = 8002,
		["attr_param"] = "",
		["attr_type"] = "",
		["attr_types"] = {
		},
		["desc"] = "同调者的攻击速度提升[c ffffff]10%[/c]，每获得一名[c ffffff]物理属性[/c]同调者，额外提升[c ffffff]15%[/c]攻击速度。\n[c 8b9fac]上限100%[/c]",
		["effect_count"] = -1,
		["effect_desc"] = "风驰电掣，使命必达。",
		["effect_param"] = "",
		["effect_priority"] = 1,
		["effect_scope"] = "",
		["event"] = "",
		["icon"] = "rogue_talisman_0002",
		["id"] = 10002,
		["is_in_default_pool"] = true,
		["is_show"] = true,
		["max_own"] = 1,
		["name"] = "改装型机车",
		["rarity"] = 1,
		["script"] = "",
		["short_desc"] = "根据[c 9eacba]物理属性[/c]同调者数量提升攻击速度。",
		["show_idx"] = 2,
		["sub_type"] = 1,
		["type"] = 1,
		["usable"] = 0,
		["value"] = 75,
		["values"] = {
		},
	},
	[10003] = {
		["affix_enable"] = 8003,
		["attr_param"] = "",
		["attr_type"] = "",
		["attr_types"] = {
		},
		["desc"] = "[link type='combat' tid='236']不会自然蒸发。\n刻印体质提升[c ffffff]10[/c]点，\n每获得一名[c 7eb7e8]水属性[/c]同调者额外提升[c ffffff]5[/c]点效果。\n[c 8b9fac]上限60点[/c]",
		["effect_count"] = -1,
		["effect_desc"] = "一款平平无奇的补水小帮手。\n元桃桃在猛烈摇晃瓶身后，三百六十度旋转狂喷：“下雨啦！”\n瓦卡莎：“……没有这个必要。”",
		["effect_param"] = "",
		["effect_priority"] = 1,
		["effect_scope"] = "",
		["event"] = "",
		["icon"] = "rogue_talisman_0003",
		["id"] = 10003,
		["is_in_default_pool"] = true,
		["is_show"] = true,
		["max_own"] = 1,
		["name"] = "保湿喷雾",
		["rarity"] = 1,
		["script"] = "",
		["short_desc"] = "根据[c 7eb7e8]水属性[/c]同调者数量提升刻印体质。",
		["show_idx"] = 3,
		["sub_type"] = 1,
		["type"] = 1,
		["usable"] = 0,
		["value"] = 75,
		["values"] = {
		},
	},
