{
	{
		["exp"] = 100,
		["lv"] = 1,
		["max_cost"] = 6,
		["phantom_count"] = 2,
		["reward"] = 6,
		["skill_lv"] = 1,
	},
	{
		["exp"] = 120,
		["lv"] = 2,
		["max_cost"] = 8,
		["phantom_count"] = 3,
		["reward"] = 6,
		["skill_lv"] = 1,
	},
	{
		["exp"] = 160,
		["lv"] = 3,
		["max_cost"] = 10,
		["phantom_count"] = 3,
		["reward"] = 6,
		["skill_lv"] = 1,
	},
	{
		["exp"] = 180,
		["lv"] = 4,
		["max_cost"] = 12,
		["phantom_count"] = 4,
		["reward"] = 6,
		["skill_lv"] = 1,
	},
	{
		["exp"] = 200,
		["lv"] = 5,
		["max_cost"] = 14,
		["phantom_count"] = 4,
		["reward"] = 6,
		["skill_lv"] = 1,
	},
	{
		["exp"] = 220,
		["lv"] = 6,
		["max_cost"] = 16,
		["phantom_count"] = 5,
		["reward"] = 6,
		["skill_lv"] = 1,
	},
	{
		["exp"] = 240,
		["lv"] = 7,
		["max_cost"] = 18,
		["phantom_count"] = 5,
		["reward"] = 6,
		["skill_lv"] = 1,
	},
	{
		["exp"] = 250,
		["lv"] = 8,
		["max_cost"] = 20,
		["phantom_count"] = 6,
		["reward"] = 6,
		["skill_lv"] = 1,
	},
	{
		["exp"] = 300,
		["lv"] = 9,
		["max_cost"] = 22,
		["phantom_count"] = 6,
		["reward"] = 6,
		["skill_lv"] = 1,
	},
	{
		["exp"] = 300,
		["lv"] = 10,
		["max_cost"] = 24,
		["phantom_count"] = 6,
		["reward"] = 6,
		["skill_lv"] = 1,
	},
}
