{
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_029",
		["id"] = 1,
		["name"] = "无糖",
		["type"] = 1,
	},
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_001",
		["id"] = 2,
		["name"] = "三分糖",
		["type"] = 1,
	},
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_002",
		["id"] = 3,
		["name"] = "五分糖",
		["type"] = 1,
	},
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_003",
		["id"] = 4,
		["name"] = "七分糖",
		["type"] = 1,
	},
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_004",
		["id"] = 5,
		["name"] = "正常糖",
		["type"] = 1,
	},
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_005",
		["id"] = 6,
		["name"] = "双倍糖",
		["type"] = 1,
	},
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_006",
		["id"] = 7,
		["name"] = "热",
		["type"] = 2,
	},
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_007",
		["id"] = 8,
		["name"] = "常温",
		["type"] = 2,
	},
	{
		["bp"] = "cond003",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_008",
		["id"] = 9,
		["name"] = "少冰",
		["type"] = 2,
	},
	{
		["bp"] = "cond017",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_009",
		["id"] = 10,
		["name"] = "正常冰",
		["type"] = 2,
	},
	{
		["bp"] = "cond016",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_010",
		["id"] = 11,
		["name"] = "多冰",
		["type"] = 2,
	},
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_011",
		["id"] = 12,
		["name"] = "全脂牛奶",
		["type"] = 3,
	},
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_012",
		["id"] = 13,
		["name"] = "脱脂牛奶",
		["type"] = 3,
	},
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_013",
		["id"] = 14,
		["name"] = "燕麦奶",
		["type"] = 3,
	},
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_014",
		["id"] = 15,
		["name"] = "奶油",
		["type"] = 4,
	},
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_015",
		["id"] = 16,
		["name"] = "椰浆",
		["type"] = 5,
	},
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_016",
		["id"] = 17,
		["name"] = "糖浆",
		["type"] = 5,
	},
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_017",
		["id"] = 18,
		["name"] = "糖包",
		["type"] = 5,
	},
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_018",
		["id"] = 19,
		["name"] = "奶精球",
		["type"] = 5,
	},
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_019",
		["id"] = 20,
		["name"] = "柠檬汁",
		["type"] = 7,
	},
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_020",
		["id"] = 21,
		["name"] = "盐",
		["type"] = 7,
	},
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_021",
		["id"] = 22,
		["name"] = "苦味素",
		["type"] = 7,
	},
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_022",
		["id"] = 23,
		["name"] = "偏淡",
		["type"] = 8,
	},
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_023",
		["id"] = 24,
		["name"] = "正常",
		["type"] = 8,
	},
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_024",
		["id"] = 25,
		["name"] = "偏烈",
		["type"] = 8,
	},
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_025",
		["id"] = 26,
		["name"] = "低因",
		["type"] = 6,
	},
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_026",
		["id"] = 27,
		["name"] = "标准",
		["type"] = 6,
	},
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_027",
		["id"] = 28,
		["name"] = "加一份",
		["type"] = 6,
	},
	{
		["bp"] = "",
		["desc"] = "",
		["icon"] = "tea_condiments_choice_028",
		["id"] = 29,
		["name"] = "加双份",
		["type"] = 6,
	},
	{
		["bp"] = "cond001",
		["desc"] = "",
		["icon"] = "tea_condiments_001",
		["id"] = 30,
		["name"] = "草莓冰淇淋",
		["type"] = 9,
	},
	{
		["bp"] = "cond001a",
		["desc"] = "",
		["icon"] = "tea_condiments_001",
		["id"] = 31,
		["name"] = "香蕉冰淇淋",
		["type"] = 9,
	},
	{
		["bp"] = "cond001b",
		["desc"] = "",
		["icon"] = "tea_condiments_001",
		["id"] = 32,
		["name"] = "抹茶冰淇淋",
		["type"] = 9,
	},
	{
		["bp"] = "cond019",
		["desc"] = "",
		["icon"] = "tea_ornaments_fruit_001",
		["id"] = 33,
		["name"] = "草莓",
		["type"] = 9,
	},
	{
		["bp"] = "cond020",
		["desc"] = "",
		["icon"] = "tea_ornaments_fruit_003",
		["id"] = 34,
		["name"] = "奇异果片",
		["type"] = 9,
	},
	{
		["bp"] = "cond021",
		["desc"] = "",
		["icon"] = "tea_ornaments_fruit_006",
		["id"] = 35,
		["name"] = "西瓜",
		["type"] = 9,
	},
	{
		["bp"] = "cond022",
		["desc"] = "",
		["icon"] = "tea_ornaments_fruit_004",
		["id"] = 36,
		["name"] = "樱桃",
		["type"] = 9,
	},
	{
		["bp"] = "cond023",
		["desc"] = "",
		["icon"] = "tea_ornaments_fruit_002",
		["id"] = 37,
		["name"] = "杨桃",
		["type"] = 9,
	},
	{
		["bp"] = "cond024",
		["desc"] = "",
		["icon"] = "tea_ornaments_fruit_005",
		["id"] = 38,
		["name"] = "蓝莓",
		["type"] = 9,
	},
	{
		["bp"] = "cond025",
		["desc"] = "",
		["icon"] = "tea_ornaments_fruit_007",
		["id"] = 39,
		["name"] = "黄瓜片",
		["type"] = 9,
	},
	{
		["bp"] = "cond011",
		["desc"] = "",
		["icon"] = "tea_condiments_011",
		["id"] = 40,
		["name"] = "青提",
		["type"] = 9,
	},
	{
		["bp"] = "cond012",
		["desc"] = "",
		["icon"] = "tea_condiments_012",
		["id"] = 41,
		["name"] = "青梅",
		["type"] = 9,
	},
	{
		["bp"] = "cond014",
		["desc"] = "",
		["icon"] = "tea_condiments_014",
		["id"] = 42,
		["name"] = "枸杞",
		["type"] = 9,
	},
	{
		["bp"] = "cond007",
		["desc"] = "",
		["icon"] = "tea_condiments_007",
		["id"] = 43,
		["name"] = "咖啡雪顶",
		["type"] = 9,
	},
	{
		["bp"] = "cond007a",
		["desc"] = "",
		["icon"] = "tea_condiments_007",
		["id"] = 44,
		["name"] = "原味雪顶",
		["type"] = 9,
	},
	{
		["bp"] = "cond004",
		["desc"] = "",
		["icon"] = "tea_condiments_004",
		["id"] = 45,
		["name"] = "珍珠",
		["type"] = 10,
	},
	{
