{
	{
		["ID"] = 1,
		["affix_name"] = "",
		["buff_icon"] = "interface/resource/Game/TerminalPK/TerminalPK_first.png",
		["count_value_index"] = 1,
		["desc"] = "{2}次内上阵加成+{1}%",
		["multiple_pos"] = 1,
		["short_desc"] = "首次出击+{1}%",
	},
	{
		["ID"] = 2,
		["affix_name"] = "",
		["buff_icon"] = "interface/Resource/Game/Reincarnation3/rc_world_icon.png",
		["count_value_index"] = 1,
		["desc"] = "{2}路线的刻印上阵加成+{1}%",
		["multiple_pos"] = 1,
		["short_desc"] = "「{2} 」加成+{1}%",
	},
	{
		["ID"] = 3,
		["affix_name"] = "",
		["buff_icon"] = "interface/Resource/Game/Reincarnation3/rc_world_icon.png",
		["count_value_index"] = 1,
		["desc"] = "深度{2}及以上的刻印上阵加成+{1}%",
		["multiple_pos"] = 1,
		["short_desc"] = "深度达{2}+{1}%",
	},
	{
		["ID"] = 4,
		["affix_name"] = "",
		["buff_icon"] = "interface/Resource/Game/Reincarnation3/rc_world_icon.png",
		["count_value_index"] = 1,
		["desc"] = "综合评分{2}及以上的刻印上阵加成+{1}%",
		["multiple_pos"] = 1,
		["short_desc"] = "评分达{2}+{1}%",
	},
	{
		["ID"] = 5,
		["affix_name"] = "",
		["buff_icon"] = "interface/Resource/Game/Reincarnation3/rc_world_icon.png",
		["count_value_index"] = 1,
		["desc"] = "刻印评级{2}及以上的刻印上阵加成+{1}%",
		["multiple_pos"] = 1,
		["short_desc"] = "评级达{2}+{1}%",
	},
}
