{
	[1001] = {
		["activity_id"] = 23,
		["bg_image"] = "interface/resource/Game/TerminalPKBG/TerminalPK_sports_bg.png",
		["bgm"] = 0,
		["boss_image"] = "n27seedmedicine_m/n27seedmedicine_m_action1",
		["boss_name"] = "心灵呼声比拼！昏沉的白荆员工",
		["boss_type"] = 1,
		["element_affix"] = {
		},
		["energy_cost"] = 5,
		["event"] = "activity_karas",
		["event_days_offset"] = 0,
		["extra_affix"] = {
			{
				1,
				50,
				1,
			},
		},
		["hp_per_bar"] = 2000,
		["level_tid"] = 1001,
		["name"] = "天境特区",
		["npc_id"] = 2,
		["pk_count"] = 1,
		["reward_group"] = {
		},
		["terminal_prop"] = 3,
		["terminal_prop_limit"] = 200,
		["total_hp"] = 1000,
		["voc_affix"] = {
		},
	},
	[1002] = {
		["activity_id"] = 23,
		["bg_image"] = "interface/resource/Game/TerminalPKBG/TerminalPK_sports_bg.png",
		["bgm"] = 0,
		["boss_image"] = "n81beach/n81beach_tourist_m_02_action1",
		["boss_name"] = "心灵呼声比拼！浑浑噩噩的路人",
		["boss_type"] = 1,
		["element_affix"] = {
		},
		["energy_cost"] = 5,
		["event"] = "activity_karas",
		["event_days_offset"] = 0,
		["extra_affix"] = {
			{
				1,
				50,
				1,
			},
		},
		["hp_per_bar"] = 2000,
		["level_tid"] = 1002,
		["name"] = "天境特区",
		["npc_id"] = 2,
		["pk_count"] = 1,
		["reward_group"] = {
		},
		["terminal_prop"] = 2,
		["terminal_prop_limit"] = 200,
		["total_hp"] = 1000,
		["voc_affix"] = {
		},
	},
	[1003] = {
		["activity_id"] = 23,
		["bg_image"] = "interface/resource/Game/TerminalPKBG/TerminalPK_sports_bg.png",
		["bgm"] = 0,
		["boss_image"] = "am50kll/am50kll_action1",
		["boss_name"] = "心灵呼声比拼！坏笑着走近的炼金术师",
		["boss_type"] = 1,
		["element_affix"] = {
		},
		["energy_cost"] = 5,
		["event"] = "activity_karas",
		["event_days_offset"] = 0,
		["extra_affix"] = {
			{
				1,
				50,
				1,
			},
		},
		["hp_per_bar"] = 2000,
		["level_tid"] = 1003,
		["name"] = "天境特区",
		["npc_id"] = 1,
		["pk_count"] = 1,
		["reward_group"] = {
		},
		["terminal_prop"] = 1,
		["terminal_prop_limit"] = 200,
		["total_hp"] = 1000,
		["voc_affix"] = {
		},
	},
	[1004] = {
		["activity_id"] = 23,
		["bg_image"] = "interface/resource/Game/TerminalPKBG/TerminalPK_sports_bg.png",
		["bgm"] = 0,
		["boss_image"] = "n88tianlu/n88tianlu_thug_f/n88tianlu_thug_f_action1",
		["boss_name"] = "心灵呼声比拼！神态严肃的西装女性",
		["boss_type"] = 1,
		["element_affix"] = {
		},
		["energy_cost"] = 5,
		["event"] = "activity_karas",
		["event_days_offset"] = 0,
		["extra_affix"] = {
			{
				1,
				50,
				1,
			},
		},
		["hp_per_bar"] = 2000,
		["level_tid"] = 1004,
		["name"] = "天境特区",
		["npc_id"] = 2,
		["pk_count"] = 1,
		["reward_group"] = {
		},
		["terminal_prop"] = 4,
		["terminal_prop_limit"] = 200,
		["total_hp"] = 1000,
		["voc_affix"] = {
		},
	},
	[1005] = {
		["activity_id"] = 23,
		["bg_image"] = "interface/resource/Game/TerminalPKBG/TerminalPK_sports_bg.png",
		["bgm"] = 0,
		["boss_image"] = "af55fqx/af55fqx_action1",
		["boss_name"] = "心灵呼声比拼！端着自制料理的行动队员",
		["boss_type"] = 1,
		["element_affix"] = {
		},
		["energy_cost"] = 5,
		["event"] = "activity_karas",
		["event_days_offset"] = 0,
		["extra_affix"] = {
			{
				1,
				50,
				1,
			},
		},
		["hp_per_bar"] = 2000,
		["level_tid"] = 1005,
		["name"] = "南星区",
		["npc_id"] = 1,
		["pk_count"] = 1,
		["reward_group"] = {
		},
		["terminal_prop"] = 2,
		["terminal_prop_limit"] = 250,
		["total_hp"] = 1500,
		["voc_affix"] = {
			[2] = 50,
		},
	},
	[1006] = {
		["activity_id"] = 23,
		["bg_image"] = "interface/resource/Game/TerminalPKBG/TerminalPK_sports_bg.png",
		["bgm"] = 0,
		["boss_image"] = "n37dw_m/n37dw_m_action1",
		["boss_name"] = "心灵呼声比拼！不耐烦的家长",
		["boss_type"] = 1,
		["element_affix"] = {
		},
		["energy_cost"] = 5,
		["event"] = "activity_karas",
		["event_days_offset"] = 0,
		["extra_affix"] = {
			{
