{
	[10] = {
		["ID"] = 10,
		["activity_id"] = {
		},
		["chapter_id"] = {
		},
		["desc"] = "海隅理事会第十一个成员国，因其国土形似枫叶而得名。陆地资源较为匮乏，但在医疗、轻工、科研等领域都有不错的成就。",
		["event"] = "",
		["index"] = 7,
		["is_show"] = true,
		["knowledge_id"] = {
			86,
		},
		["pos_xy"] = {
			780,
			390,
		},
		["storyline_id"] = {
		},
		["title"] = "枫岛",
		["world_id"] = 1,
	},
	[11] = {
		["ID"] = 11,
		["activity_id"] = {
		},
		["chapter_id"] = {
		},
		["desc"] = "“北三岛”中处于领导地位的国家，拥有肥沃的土地和丰富的自然资源，重工业发达。受限于气候原因，始终面临着人口外流的风险。",
		["event"] = "",
		["index"] = 8,
		["is_show"] = true,
		["knowledge_id"] = {
			87,
		},
		["pos_xy"] = {
			1155,
			245,
		},
		["storyline_id"] = {
		},
		["title"] = "凛阳",
		["world_id"] = 1,
	},
	[12] = {
		["ID"] = 12,
		["activity_id"] = {
			17,
		},
		["chapter_id"] = {
			5,
		},
		["desc"] = "由前“乌纳姆帝国”分裂而来，位于南大陆东部，继承了原帝国的古老制度，以正统自居。数百年来持续与沙玛什争夺领土，边境时常爆发战争。",
		["event"] = "",
		["index"] = 9,
		["is_show"] = true,
		["knowledge_id"] = {
			89,
		},
		["pos_xy"] = {
			435,
			675,
		},
		["storyline_id"] = {
		},
		["title"] = "伊南纳",
		["world_id"] = 1,
	},
	[13] = {
		["ID"] = 13,
		["activity_id"] = {
			17,
		},
		["chapter_id"] = {
			5,
		},
		["desc"] = "由前“乌纳姆帝国”分裂而来，分裂后彻底抛弃了古老制度。位于南大陆西部，数百年来持续与伊南纳争夺领土，边境时常爆发战争。",
		["event"] = "",
		["index"] = 10,
		["is_show"] = true,
		["knowledge_id"] = {
			90,
		},
		["pos_xy"] = {
			320,
			720,
		},
		["storyline_id"] = {
		},
		["title"] = "沙玛什",
		["world_id"] = 1,
	},
	[14] = {
		["ID"] = 14,
		["activity_id"] = {
		},
		["chapter_id"] = {
		},
		["desc"] = "位于森罗南半球，作为前次战争的战胜国吞并了大量领土。近年来为巩固自身统治与世界霸权采取高压措施，国内外局势均不理想。",
		["event"] = "",
		["index"] = 11,
		["is_show"] = true,
		["knowledge_id"] = {
			91,
		},
		["pos_xy"] = {
			730,
			660,
		},
		["storyline_id"] = {
			16,
		},
		["title"] = "恩利都",
		["world_id"] = 1,
	},
	[15] = {
		["ID"] = 15,
		["activity_id"] = {
			6,
			10,
		},
		["chapter_id"] = {
		},
		["desc"] = "海隅理事会新晋成员国之一。历史悠久，生活节奏自由散漫，拥有独特的文化魅力，拥有“浪漫之都”的美名，为森罗著名的蜜月、邂逅圣地。",
		["event"] = "activity_uni",
		["index"] = 12,
		["is_show"] = true,
		["knowledge_id"] = {
			83,
		},
		["pos_xy"] = {
			680,
			415,
		},
		["storyline_id"] = {
			15,
			18,
		},
		["title"] = "蒂尔莫",
		["world_id"] = 1,
	},
	[16] = {
		["ID"] = 16,
		["activity_id"] = {
			6,
		},
		["chapter_id"] = {
		},
		["desc"] = "南半球海域的诸多岛国之一，面积较小，矿产资源丰富，是重要的矿产品生产和出口国，总体发展稳定繁荣。",
		["event"] = "activity_uni",
		["index"] = 13,
		["is_show"] = true,
		["knowledge_id"] = {
			370,
		},
		["pos_xy"] = {
			500,
			620,
		},
		["storyline_id"] = {
			15,
		},
		["title"] = "安提利亚岛",
		["world_id"] = 1,
	},
	[17] = {
		["ID"] = 17,
		["activity_id"] = {
			11,
		},
		["chapter_id"] = {
		},
		["desc"] = "坐落在小型海岛上与世隔绝的神秘监狱，被称为“移动的囚笼之国”。多年来为各国政府解决麻烦的同时也掌握了许多机密信息。",
		["event"] = "activity_paradise",
		["index"] = 14,
		["is_show"] = true,
		["knowledge_id"] = {
			388,
		},
		["pos_xy"] = {
			490,
			430,
		},
		["storyline_id"] = {
			17,
		},
		["title"] = "乐园岛",
		["world_id"] = 1,
	},
	[18] = {
		["ID"] = 18,
		["activity_id"] = {
			6,
		},
		["chapter_id"] = {
		},
		["desc"] = "斯奈菲尔魔力加持过的舰船，赐予奥德，意为“新世界的晨光”。",
		["event"] = "",
		["index"] = 1,
		["is_show"] = true,
		["knowledge_id"] = {
			375,
		},
		["pos_xy"] = {
			530,
			420,
		},
		["storyline_id"] = {
			15,
		},
		["title"] = "波卡纳达加兹",
		["world_id"] = 4,
	},
	[19] = {
		["ID"] = 19,
		["activity_id"] = {
		},
		["chapter_id"] = {
		},
		["desc"] = "特默里恩王国首都，位于大陆中心地区，地理位置优越，是特默里恩世界重要的经济、政治、文化中心。",
		["event"] = "",
		["index"] = 1,
		["is_show"] = true,
		["knowledge_id"] = {
			389,
		},
		["pos_xy"] = {
			560,
			440,
		},
		["storyline_id"] = {
			8,
		},
		["title"] = "阿洛汀城",
		["world_id"] = 2,
	},
	[1] = {
		["ID"] = 1,
		["activity_id"] = {
			1,
			2,
			3,
			5,
			6,
		},
		["chapter_id"] = {
			1,
			2,
			3,
			4,
			5,
			6,
			7,
		},
		["desc"] = "海隅理事会核心成员国，在十一国中拥有第二广阔的岛屿面积及最强大的经济实力。",
		["event"] = "",
		["index"] = 1,
		["is_show"] = true,
		["knowledge_id"] = {
			77,
		},
		["pos_xy"] = {
			1135,
			410,
		},
		["storyline_id"] = {
			7,
			11,
			12,
			13,
			14,
		},
		["title"] = "海临",
		["world_id"] = 1,
	},
	[20] = {
		["ID"] = 20,
		["activity_id"] = {
			5,
		},
		["chapter_id"] = {
		},
		["desc"] = "夜摩国人类聚集区，当地人在此繁衍生息，世代延续。他们用尽心力照料这片土地，同时以虔诚的信仰祭祀供奉着神明。",
		["event"] = "",
		["index"] = 1,
		["is_show"] = true,
		["knowledge_id"] = {
			391,
		},
		["pos_xy"] = {
			530,
			470,
		},
		["storyline_id"] = {
			14,
		},
		["title"] = "夜摩王城",
		["world_id"] = 3,
	},
	[21] = {
		["ID"] = 21,
		["activity_id"] = {
			5,
		},
		["chapter_id"] = {
		},
		["desc"] = "位于夜摩国附近的辽阔海域，是夜摩人守卫家园的重要战场。每当天上的太阳只剩下一个时，便是是双世海海兽潮爆发的高峰期。",
		["event"] = "",
		["index"] = 2,
		["is_show"] = true,
		["knowledge_id"] = {
			390,
		},
		["pos_xy"] = {
			760,
			170,
		},
		["storyline_id"] = {
			14,
		},
		["title"] = "双世海",
		["world_id"] = 3,
	},
	[22] = {
		["ID"] = 22,
		["activity_id"] = {
		},
		["chapter_id"] = {
		},
		["desc"] = "千年前由海尔维格家族建立的王国，在斯奈菲尔的帮助下成为间冰时代最强盛的国家，但现今正在逐渐走向没落。",
		["event"] = "",
		["index"] = 2,
		["is_show"] = true,
		["knowledge_id"] = {
		},
		["pos_xy"] = {
			1145,
			1025,
		},
		["storyline_id"] = {
		},
		["title"] = "斯奈菲尔",
		["world_id"] = 4,
	},
	[23] = {
		["ID"] = 23,
		["activity_id"] = {
		},
		["chapter_id"] = {
		},
		["desc"] = "信仰“绝对勇武”的王国，建立者为瑟尔特。“光荣之战”后吞并巴达本加，掌握了可在冰面上破冰而行的造船及航行技术。",
		["event"] = "",
		["index"] = 3,
		["is_show"] = true,
		["knowledge_id"] = {
		},
		["pos_xy"] = {
			735,
			762,
		},
		["storyline_id"] = {
		},
		["title"] = "赫克拉",
		["world_id"] = 4,
	},
	[24] = {
		["ID"] = 24,
		["activity_id"] = {
		},
		["chapter_id"] = {
		},
		["desc"] = "制船和航行技术极其发达的王国，建立者为尼埃约德。于“光荣之战”后被诸王国吞并，成为后世所知的巴达本加地区。",
		["event"] = "",
		["index"] = 4,
		["is_show"] = true,
		["knowledge_id"] = {
		},
		["pos_xy"] = {
			575,
			685,
		},
		["storyline_id"] = {
		},
		["title"] = "巴达本加",
		["world_id"] = 4,
	},
	[25] = {
		["ID"] = 25,
		["activity_id"] = {
		},
		["chapter_id"] = {
		},
		["desc"] = "存在本身即象征着智慧与崇高的王国，在间冰时代到来前便掌握了魔法，也是最早决定追随斯奈菲尔的王国。",
		["event"] = "",
		["index"] = 5,
		["is_show"] = true,
		["knowledge_id"] = {
		},
		["pos_xy"] = {
			1030,
			650,
		},
		["storyline_id"] = {
		},
		["title"] = "阿斯奇亚",
		["world_id"] = 4,
	},
	[26] = {
		["ID"] = 26,
		["activity_id"] = {
		},
		["chapter_id"] = {
		},
		["desc"] = "以善于防御闻名的王国，建立者为布洛克。“光荣之战”后获得魔法力量，可制造坚不可摧的铠甲。后因内乱，分裂为格里姆王国与瑟利王国。",
		["event"] = "",
		["index"] = 6,
		["is_show"] = true,
		["knowledge_id"] = {
		},
		["pos_xy"] = {
			1316,
			638,
		},
		["storyline_id"] = {
		},
		["title"] = "格里姆",
		["world_id"] = 4,
	},
	[27] = {
		["ID"] = 27,
		["activity_id"] = {
		},
		["chapter_id"] = {
		},
		["desc"] = "与斯奈菲尔王城相隔最远的王国，建立者为欧雷勒。“光荣之战”后凭借贵金属的开采和出口一度鼎盛，后逐渐没落。",
		["event"] = "",
		["index"] = 7,
		["is_show"] = true,
		["knowledge_id"] = {
		},
		["pos_xy"] = {
			468,
			972,
		},
		["storyline_id"] = {
		},
		["title"] = "克拉夫拉",
		["world_id"] = 4,
	},
	[28] = {
		["ID"] = 28,
		["activity_id"] = {
		},
		["chapter_id"] = {
		},
		["desc"] = "因种种原因，从原格里姆王国中分裂出的新国家，继承并重新改造了一部分铠甲技术。瑟利与格里姆互相仇视，势如水火。",
		["event"] = "",
		["index"] = 8,
		["is_show"] = true,
		["knowledge_id"] = {
		},
		["pos_xy"] = {
			1170,
			760,
		},
		["storyline_id"] = {
		},
		["title"] = "瑟利",
		["world_id"] = 4,
	},
	[29] = {
		["ID"] = 29,
		["activity_id"] = {
			15,
		},
		["chapter_id"] = {
		},
		["desc"] = "位于世界中心的巨大山脉，绵延千里、高耸入云，自南向北贯穿盖亚大陆。",
		["event"] = "",
		["index"] = 1,
		["is_show"] = true,
		["knowledge_id"] = {
			414,
		},
		["pos_xy"] = {
			650,
			450,
		},
		["storyline_id"] = {
			19,
		},
		["title"] = "乌瑞亚山脉",
		["world_id"] = 5,
	},
	[2] = {
		["ID"] = 2,
		["activity_id"] = {
		},
		["chapter_id"] = {
		},
		["desc"] = "海隅理事会核心成员国，历史悠久，拥有极强的文化底蕴和文化辐射力。同时也是理事会总部所在地。",
		["event"] = "",
		["index"] = 2,
		["is_show"] = true,
		["knowledge_id"] = {
			78,
		},
		["pos_xy"] = {
			1290,
			430,
		},
		["storyline_id"] = {
		},
		["title"] = "遥城",
		["world_id"] = 1,
	},
	[30] = {
		["ID"] = 30,
		["activity_id"] = {
		},
		["chapter_id"] = {
		},
		["desc"] = "德里亚德森林深邃而古老，高大的古树紧密相依，葱茏的枝叶交织成一张遮天蔽日的天幕，是乌瑞亚世界中目前已知占地面积最大的森林。",
		["event"] = "",
		["index"] = 4,
		["is_show"] = true,
		["knowledge_id"] = {
			416,
		},
		["pos_xy"] = {
			880,
			750,
		},
		["storyline_id"] = {
		},
		["title"] = "德里亚德森林",
		["world_id"] = 5,
	},
	[31] = {
		["ID"] = 31,
		["activity_id"] = {
		},
		["chapter_id"] = {
		},
		["desc"] = "位于盖亚大陆最西部的广袤平原，西临平和富饶的海洋「提提斯」，长久以来已成为最适合庆典与集会的场所。",
