{
	{
		["ID"] = 1,
		["can_drag"] = true,
		["default_location_id"] = 1,
		["event"] = "",
		["image_icon"] = "world_pageicon_senlo",
		["image_map"] = "world_img_senlo.png",
		["index"] = 1,
		["map_bottom_padding"] = -60,
		["map_max_ratio"] = 1.2,
		["map_right_padding"] = 400,
		["map_size"] = {
			2048,
			1166,
		},
		["map_top_padding"] = -100,
		["title"] = "森罗",
	},
	{
		["ID"] = 2,
		["can_drag"] = false,
		["default_location_id"] = 19,
		["event"] = "",
		["image_icon"] = "world_pageicon_tourmaline",
		["image_map"] = "world_bg_tourmaline_s.png",
		["index"] = 2,
		["map_bottom_padding"] = 0,
		["map_max_ratio"] = 1,
		["map_right_padding"] = 260,
		["map_size"] = {
			1560,
			878,
		},
		["map_top_padding"] = 0,
		["title"] = "特默里恩",
	},
	{
		["ID"] = 3,
		["can_drag"] = false,
		["default_location_id"] = 20,
		["event"] = "activity_yama",
		["image_icon"] = "world_pageicon_yama",
		["image_map"] = "world_bg_yama_s.png",
		["index"] = 3,
		["map_bottom_padding"] = 0,
		["map_max_ratio"] = 1,
		["map_right_padding"] = 260,
		["map_size"] = {
			1560,
			878,
		},
		["map_top_padding"] = 0,
		["title"] = "夜摩",
	},
	{
		["ID"] = 4,
		["can_drag"] = true,
		["default_location_id"] = 18,
		["event"] = "activity_uni",
		["image_icon"] = "world_pageicon_snaefellsnes",
		["image_map"] = "world_img_snaefellsnes.png",
		["index"] = 4,
		["map_bottom_padding"] = 0,
		["map_max_ratio"] = 1.1,
		["map_right_padding"] = 260,
		["map_size"] = {
			2048,
			1386,
		},
		["map_top_padding"] = 0,
		["title"] = "斯奈菲尔",
	},
	{
		["ID"] = 5,
		["can_drag"] = true,
		["default_location_id"] = 29,
		["event"] = "activity_ourea",
		["image_icon"] = "world_pageicon_ourea",
		["image_map"] = "world_img_ourea.png",
		["index"] = 5,
		["map_bottom_padding"] = 0,
		["map_max_ratio"] = 1.1,
		["map_right_padding"] = 260,
		["map_size"] = {
			2048,
			1214,
		},
		["map_top_padding"] = 0,
		["title"] = "乌瑞亚",
	},
}
